,volt,co,h2,lpg,ch4,alcohol
122,0.11,0.802,0.604,0.088,0.205,1.256
123,0.12,0.914,0.687,0.147,0.427,2.393
124,0.12,0.914,0.687,0.147,0.427,2.393
125,0.11,0.802,0.604,0.088,0.205,1.256
126,0.11,0.802,0.604,0.088,0.205,1.256
127,0.11,0.802,0.604,0.088,0.205,1.256
128,0.12,0.914,0.687,0.147,0.427,2.393
129,0.11,0.802,0.604,0.088,0.205,1.256
130,0.12,0.914,0.687,0.147,0.427,2.393
131,0.11,0.802,0.604,0.088,0.205,1.256
132,0.12,0.914,0.687,0.147,0.427,2.393
133,0.12,0.914,0.687,0.147,0.427,2.393
134,0.12,0.914,0.687,0.147,0.427,2.393
135,0.11,0.802,0.604,0.088,0.205,1.256
136,0.12,0.914,0.687,0.147,0.427,2.393
137,0.11,0.802,0.604,0.088,0.205,1.256
138,0.11,0.802,0.604,0.088,0.205,1.256
139,0.11,0.802,0.604,0.088,0.205,1.256
140,0.11,0.802,0.604,0.088,0.205,1.256
141,0.11,0.802,0.604,0.088,0.205,1.256
142,0.12,0.914,0.687,0.147,0.427,2.393
143,0.11,0.802,0.604,0.088,0.205,1.256
144,0.11,0.802,0.604,0.088,0.205,1.256
145,0.11,0.802,0.604,0.088,0.205,1.256
146,0.11,0.802,0.604,0.088,0.205,1.256
147,0.11,0.802,0.604,0.088,0.205,1.256
148,0.12,0.914,0.687,0.147,0.427,2.393
149,0.12,0.914,0.687,0.147,0.427,2.393
150,0.11,0.802,0.604,0.088,0.205,1.256
151,0.11,0.802,0.604,0.088,0.205,1.256
152,0.12,0.914,0.687,0.147,0.427,2.393
153,0.11,0.802,0.604,0.088,0.205,1.256
154,0.11,0.802,0.604,0.088,0.205,1.256
155,0.12,0.914,0.687,0.147,0.427,2.393
156,0.12,0.914,0.687,0.147,0.427,2.393
157,0.12,0.914,0.687,0.147,0.427,2.393
158,0.12,0.914,0.687,0.147,0.427,2.393
159,0.11,0.802,0.604,0.088,0.205,1.256
160,0.12,0.914,0.687,0.147,0.427,2.393
161,0.11,0.802,0.604,0.088,0.205,1.256
162,0.12,0.914,0.687,0.147,0.427,2.393
163,0.12,0.914,0.687,0.147,0.427,2.393
164,0.11,0.802,0.604,0.088,0.205,1.256
165,0.11,0.802,0.604,0.088,0.205,1.256
166,0.11,0.802,0.604,0.088,0.205,1.256
167,0.11,0.802,0.604,0.088,0.205,1.256
168,0.12,0.914,0.687,0.147,0.427,2.393
169,0.12,0.914,0.687,0.147,0.427,2.393
170,0.12,0.914,0.687,0.147,0.427,2.393
171,0.11,0.802,0.604,0.088,0.205,1.256
172,0.11,0.802,0.604,0.088,0.205,1.256
173,0.11,0.802,0.604,0.088,0.205,1.256
174,0.12,0.914,0.687,0.147,0.427,2.393
175,0.11,0.802,0.604,0.088,0.205,1.256
176,0.12,0.914,0.687,0.147,0.427,2.393
177,0.12,0.914,0.687,0.147,0.427,2.393
178,0.11,0.802,0.604,0.088,0.205,1.256
179,0.12,0.914,0.687,0.147,0.427,2.393
180,0.11,0.802,0.604,0.088,0.205,1.256
181,0.11,0.802,0.604,0.088,0.205,1.256
182,0.11,0.802,0.604,0.088,0.205,1.256
183,0.12,0.914,0.687,0.147,0.427,2.393
184,0.14,1.153,0.864,0.367,1.583,7.521
185,0.14,1.153,0.864,0.367,1.583,7.521
186,0.13,1.031,0.774,0.236,0.843,4.334
187,0.13,1.031,0.774,0.236,0.843,4.334
188,0.14,1.153,0.864,0.367,1.583,7.521
189,0.14,1.153,0.864,0.367,1.583,7.521
190,0.14,1.153,0.864,0.367,1.583,7.521
191,0.14,1.153,0.864,0.367,1.583,7.521
192,0.13,1.031,0.774,0.236,0.843,4.334
193,0.13,1.031,0.774,0.236,0.843,4.334
