sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
122,0.30,0.17,0.19,0.20,0.02,0.18
123,0.30,0.18,0.19,0.19,0.02,0.18
124,0.29,0.17,0.18,0.19,0.02,0.19
125,0.29,0.18,0.18,0.20,0.02,0.18
126,0.30,0.18,0.18,0.20,0.02,0.18
127,0.29,0.19,0.19,0.19,0.02,0.19
128,0.29,0.19,0.18,0.20,0.02,0.18
129,0.29,0.18,0.19,0.19,0.02,0.18
130,0.29,0.18,0.18,0.19,0.02,0.18
131,0.29,0.17,0.19,0.20,0.04,0.18
132,0.29,0.18,0.19,0.20,0.02,0.18
133,0.30,0.18,0.19,0.19,0.03,0.19
134,0.30,0.18,0.19,0.19,0.02,0.18
135,0.29,0.18,0.19,0.20,0.02,0.18
136,0.29,0.18,0.19,0.20,0.02,0.19
137,0.30,0.18,0.18,0.19,0.02,0.18
138,0.30,0.18,0.19,0.20,0.03,0.18
139,0.30,0.18,0.19,0.20,0.02,0.18
140,0.30,0.18,0.19,0.20,0.02,0.19
141,0.30,0.18,0.19,0.20,0.02,0.18
142,0.31,0.19,0.19,0.20,0.03,0.18
143,0.30,0.18,0.19,0.20,0.02,0.18
144,0.30,0.18,0.18,0.19,0.02,0.19
145,0.30,0.18,0.19,0.19,0.02,0.18
146,0.30,0.18,0.19,0.20,0.02,0.19
147,0.30,0.18,0.19,0.20,0.02,0.18
148,0.30,0.18,0.18,0.19,0.02,0.17
149,0.30,0.18,0.18,0.20,0.02,0.18
150,0.30,0.18,0.18,0.20,0.02,0.18
151,0.30,0.18,0.19,0.20,0.02,0.18
152,0.31,0.18,0.19,0.20,0.03,0.18
153,0.31,0.19,0.18,0.20,0.02,0.18
154,0.30,0.18,0.18,0.20,0.03,0.19
155,0.31,0.18,0.19,0.20,0.02,0.18
156,0.31,0.18,0.19,0.20,0.02,0.19
157,0.31,0.18,0.19,0.20,0.03,0.18
158,0.31,0.18,0.18,0.20,0.03,0.19
159,0.30,0.18,0.19,0.20,0.04,0.18
160,0.30,0.19,0.18,0.20,0.03,0.18
161,0.30,0.18,0.19,0.20,0.02,0.19
162,0.31,0.18,0.19,0.20,0.03,0.18
163,0.30,0.18,0.18,0.20,0.02,0.19
164,0.30,0.18,0.18,0.20,0.03,0.18
165,0.30,0.18,0.18,0.20,0.02,0.18
166,0.30,0.19,0.19,0.20,0.03,0.18
167,0.30,0.18,0.19,0.20,0.02,0.19
