,volt,h2,lpg,ch4,co,alcohol,smoke,propane
93,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
94,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
95,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
96,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
97,0.03,58.979,32.701,114.228,615.513,99.89,162.423,39.866
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
100,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
101,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
102,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
103,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
104,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
105,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
106,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
107,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
108,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
109,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
110,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
111,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
112,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
113,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
114,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
115,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
116,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
117,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
118,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
119,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
120,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
121,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
122,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
123,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
124,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
125,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
126,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
127,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
128,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
129,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
130,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
131,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
132,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
133,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
134,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
135,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
136,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
137,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
138,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
139,0.03,58.979,32.701,114.228,615.513,99.89,162.423,39.866
140,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
141,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
142,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
143,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
144,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
145,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
146,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
147,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
148,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
149,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
150,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
151,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
152,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
153,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
154,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
155,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
156,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
157,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
158,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
159,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
160,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
161,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
162,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
163,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
164,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
165,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
166,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
167,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
168,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
169,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
170,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
171,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
172,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
173,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
176,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
177,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
178,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
179,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
180,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
181,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
182,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
183,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
184,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
185,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
186,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
187,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
188,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
189,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
190,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
191,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
192,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
193,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
194,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
195,0.01,5.536,2.951,4.08,15.422,4.866,9.265,3.998
196,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
197,0.02,24.602,13.444,33.343,159.857,32.7,56.364,17.042
