,volt,co,h2,lpg,ch4,alcohol
122,0.17,0.833,0.627,0.102,0.253,1.513
123,0.17,0.833,0.627,0.102,0.253,1.513
124,0.18,0.909,0.683,0.143,0.413,2.322
125,0.17,0.833,0.627,0.102,0.253,1.513
126,0.18,0.909,0.683,0.143,0.413,2.322
127,0.18,0.909,0.683,0.143,0.413,2.322
128,0.17,0.833,0.627,0.102,0.253,1.513
129,0.18,0.909,0.683,0.143,0.413,2.322
130,0.17,0.833,0.627,0.102,0.253,1.513
131,0.18,0.909,0.683,0.143,0.413,2.322
132,0.17,0.833,0.627,0.102,0.253,1.513
133,0.17,0.833,0.627,0.102,0.253,1.513
134,0.17,0.833,0.627,0.102,0.253,1.513
135,0.18,0.909,0.683,0.143,0.413,2.322
136,0.17,0.833,0.627,0.102,0.253,1.513
137,0.17,0.833,0.627,0.102,0.253,1.513
138,0.18,0.909,0.683,0.143,0.413,2.322
139,0.17,0.833,0.627,0.102,0.253,1.513
140,0.17,0.833,0.627,0.102,0.253,1.513
141,0.17,0.833,0.627,0.102,0.253,1.513
142,0.17,0.833,0.627,0.102,0.253,1.513
143,0.17,0.833,0.627,0.102,0.253,1.513
144,0.17,0.833,0.627,0.102,0.253,1.513
145,0.17,0.833,0.627,0.102,0.253,1.513
146,0.17,0.833,0.627,0.102,0.253,1.513
147,0.17,0.833,0.627,0.102,0.253,1.513
148,0.18,0.909,0.683,0.143,0.413,2.322
149,0.17,0.833,0.627,0.102,0.253,1.513
150,0.17,0.833,0.627,0.102,0.253,1.513
151,0.17,0.833,0.627,0.102,0.253,1.513
152,0.17,0.833,0.627,0.102,0.253,1.513
153,0.18,0.909,0.683,0.143,0.413,2.322
154,0.17,0.833,0.627,0.102,0.253,1.513
155,0.18,0.909,0.683,0.143,0.413,2.322
156,0.18,0.909,0.683,0.143,0.413,2.322
157,0.18,0.909,0.683,0.143,0.413,2.322
158,0.18,0.909,0.683,0.143,0.413,2.322
159,0.18,0.909,0.683,0.143,0.413,2.322
160,0.17,0.833,0.627,0.102,0.253,1.513
161,0.17,0.833,0.627,0.102,0.253,1.513
162,0.17,0.833,0.627,0.102,0.253,1.513
163,0.17,0.833,0.627,0.102,0.253,1.513
164,0.17,0.833,0.627,0.102,0.253,1.513
165,0.17,0.833,0.627,0.102,0.253,1.513
166,0.17,0.833,0.627,0.102,0.253,1.513
167,0.17,0.833,0.627,0.102,0.253,1.513
168,0.17,0.833,0.627,0.102,0.253,1.513
169,0.17,0.833,0.627,0.102,0.253,1.513
170,0.18,0.909,0.683,0.143,0.413,2.322
171,0.17,0.833,0.627,0.102,0.253,1.513
172,0.18,0.909,0.683,0.143,0.413,2.322
173,0.17,0.833,0.627,0.102,0.253,1.513
174,0.17,0.833,0.627,0.102,0.253,1.513
175,0.17,0.833,0.627,0.102,0.253,1.513
176,0.18,0.909,0.683,0.143,0.413,2.322
177,0.17,0.833,0.627,0.102,0.253,1.513
178,0.18,0.909,0.683,0.143,0.413,2.322
179,0.17,0.833,0.627,0.102,0.253,1.513
180,0.17,0.833,0.627,0.102,0.253,1.513
181,0.18,0.909,0.683,0.143,0.413,2.322
182,0.18,0.909,0.683,0.143,0.413,2.322
183,0.17,0.833,0.627,0.102,0.253,1.513
184,0.18,0.909,0.683,0.143,0.413,2.322
185,0.17,0.833,0.627,0.102,0.253,1.513
186,0.17,0.833,0.627,0.102,0.253,1.513
187,0.17,0.833,0.627,0.102,0.253,1.513
188,0.17,0.833,0.627,0.102,0.253,1.513
189,0.18,0.909,0.683,0.143,0.413,2.322
190,0.18,0.909,0.683,0.143,0.413,2.322
191,0.18,0.909,0.683,0.143,0.413,2.322
192,0.17,0.833,0.627,0.102,0.253,1.513
193,0.17,0.833,0.627,0.102,0.253,1.513
194,0.16,0.76,0.573,0.071,0.151,0.961
195,0.18,0.909,0.683,0.143,0.413,2.322
