,volt,lpg,co,ch4
0,0.15,0.015,0.003,0.012
1,0.15,0.015,0.003,0.012
2,0.16,0.021,0.005,0.019
3,0.17,0.029,0.007,0.03
4,0.16,0.021,0.005,0.019
5,0.16,0.021,0.005,0.019
6,0.16,0.021,0.005,0.019
7,0.16,0.021,0.005,0.019
8,0.16,0.021,0.005,0.019
9,0.16,0.021,0.005,0.019
10,0.16,0.021,0.005,0.019
11,0.16,0.021,0.005,0.019
12,0.17,0.029,0.007,0.03
13,0.16,0.021,0.005,0.019
14,0.16,0.021,0.005,0.019
15,0.16,0.021,0.005,0.019
16,0.16,0.021,0.005,0.019
17,0.17,0.029,0.007,0.03
18,0.16,0.021,0.005,0.019
19,0.16,0.021,0.005,0.019
20,0.16,0.021,0.005,0.019
21,0.15,0.015,0.003,0.012
22,0.16,0.021,0.005,0.019
23,0.16,0.021,0.005,0.019
24,0.17,0.029,0.007,0.03
25,0.16,0.021,0.005,0.019
26,0.16,0.021,0.005,0.019
27,0.16,0.021,0.005,0.019
28,0.16,0.021,0.005,0.019
29,0.16,0.021,0.005,0.019
30,0.16,0.021,0.005,0.019
31,0.16,0.021,0.005,0.019
32,0.15,0.015,0.003,0.012
33,0.16,0.021,0.005,0.019
34,0.16,0.021,0.005,0.019
35,0.16,0.021,0.005,0.019
36,0.16,0.021,0.005,0.019
37,0.16,0.021,0.005,0.019
38,0.16,0.021,0.005,0.019
39,0.16,0.021,0.005,0.019
40,0.16,0.021,0.005,0.019
41,0.17,0.029,0.007,0.03
42,0.16,0.021,0.005,0.019
43,0.16,0.021,0.005,0.019
44,0.16,0.021,0.005,0.019
45,0.16,0.021,0.005,0.019
46,0.16,0.021,0.005,0.019
47,0.16,0.021,0.005,0.019
48,0.15,0.015,0.003,0.012
49,0.16,0.021,0.005,0.019
50,0.17,0.029,0.007,0.03
51,0.16,0.021,0.005,0.019
52,0.16,0.021,0.005,0.019
53,0.16,0.021,0.005,0.019
54,0.16,0.021,0.005,0.019
55,0.16,0.021,0.005,0.019
56,0.16,0.021,0.005,0.019
57,0.15,0.015,0.003,0.012
58,0.15,0.015,0.003,0.012
59,0.16,0.021,0.005,0.019
60,0.16,0.021,0.005,0.019
61,0.16,0.021,0.005,0.019
62,0.16,0.021,0.005,0.019
63,0.16,0.021,0.005,0.019
64,0.15,0.015,0.003,0.012
65,0.16,0.021,0.005,0.019
66,0.16,0.021,0.005,0.019
67,0.15,0.015,0.003,0.012
68,0.16,0.021,0.005,0.019
69,0.16,0.021,0.005,0.019
70,0.16,0.021,0.005,0.019
71,0.17,0.029,0.007,0.03
72,0.16,0.021,0.005,0.019
73,0.15,0.015,0.003,0.012
74,0.16,0.021,0.005,0.019
75,0.16,0.021,0.005,0.019
76,0.17,0.029,0.007,0.03
77,0.16,0.021,0.005,0.019
78,0.16,0.021,0.005,0.019
79,0.16,0.021,0.005,0.019
