,volt,co,h2,lpg,ch4,alcohol
156,0.18,0.909,0.683,0.143,0.413,2.322
157,0.17,0.833,0.627,0.102,0.253,1.513
158,0.17,0.833,0.627,0.102,0.253,1.513
159,0.17,0.833,0.627,0.102,0.253,1.513
160,0.18,0.909,0.683,0.143,0.413,2.322
161,0.17,0.833,0.627,0.102,0.253,1.513
162,0.17,0.833,0.627,0.102,0.253,1.513
163,0.18,0.909,0.683,0.143,0.413,2.322
164,0.18,0.909,0.683,0.143,0.413,2.322
165,0.17,0.833,0.627,0.102,0.253,1.513
166,0.17,0.833,0.627,0.102,0.253,1.513
167,0.17,0.833,0.627,0.102,0.253,1.513
168,0.18,0.909,0.683,0.143,0.413,2.322
169,0.18,0.909,0.683,0.143,0.413,2.322
170,0.18,0.909,0.683,0.143,0.413,2.322
171,0.17,0.833,0.627,0.102,0.253,1.513
172,0.17,0.833,0.627,0.102,0.253,1.513
173,0.18,0.909,0.683,0.143,0.413,2.322
174,0.17,0.833,0.627,0.102,0.253,1.513
175,0.18,0.909,0.683,0.143,0.413,2.322
176,0.17,0.833,0.627,0.102,0.253,1.513
177,0.18,0.909,0.683,0.143,0.413,2.322
178,0.17,0.833,0.627,0.102,0.253,1.513
179,0.17,0.833,0.627,0.102,0.253,1.513
180,0.17,0.833,0.627,0.102,0.253,1.513
181,0.17,0.833,0.627,0.102,0.253,1.513
182,0.17,0.833,0.627,0.102,0.253,1.513
183,0.17,0.833,0.627,0.102,0.253,1.513
184,0.17,0.833,0.627,0.102,0.253,1.513
185,0.18,0.909,0.683,0.143,0.413,2.322
186,0.17,0.833,0.627,0.102,0.253,1.513
187,0.17,0.833,0.627,0.102,0.253,1.513
188,0.17,0.833,0.627,0.102,0.253,1.513
189,0.17,0.833,0.627,0.102,0.253,1.513
190,0.17,0.833,0.627,0.102,0.253,1.513
191,0.17,0.833,0.627,0.102,0.253,1.513
192,0.17,0.833,0.627,0.102,0.253,1.513
193,0.17,0.833,0.627,0.102,0.253,1.513
194,0.18,0.909,0.683,0.143,0.413,2.322
195,0.17,0.833,0.627,0.102,0.253,1.513
196,0.17,0.833,0.627,0.102,0.253,1.513
197,0.17,0.833,0.627,0.102,0.253,1.513
198,0.18,0.909,0.683,0.143,0.413,2.322
199,0.17,0.833,0.627,0.102,0.253,1.513
200,0.18,0.909,0.683,0.143,0.413,2.322
201,0.18,0.909,0.683,0.143,0.413,2.322
202,0.18,0.909,0.683,0.143,0.413,2.322
203,0.17,0.833,0.627,0.102,0.253,1.513
204,0.17,0.833,0.627,0.102,0.253,1.513
205,0.17,0.833,0.627,0.102,0.253,1.513
206,0.17,0.833,0.627,0.102,0.253,1.513
207,0.17,0.833,0.627,0.102,0.253,1.513
208,0.17,0.833,0.627,0.102,0.253,1.513
209,0.18,0.909,0.683,0.143,0.413,2.322
210,0.17,0.833,0.627,0.102,0.253,1.513
211,0.16,0.76,0.573,0.071,0.151,0.961
212,0.17,0.833,0.627,0.102,0.253,1.513
213,0.17,0.833,0.627,0.102,0.253,1.513
214,0.18,0.909,0.683,0.143,0.413,2.322
215,0.17,0.833,0.627,0.102,0.253,1.513
216,0.17,0.833,0.627,0.102,0.253,1.513
217,0.18,0.909,0.683,0.143,0.413,2.322
218,0.17,0.833,0.627,0.102,0.253,1.513
219,0.18,0.909,0.683,0.143,0.413,2.322
220,0.17,0.833,0.627,0.102,0.253,1.513
221,0.18,0.909,0.683,0.143,0.413,2.322
222,0.18,0.909,0.683,0.143,0.413,2.322
223,0.17,0.833,0.627,0.102,0.253,1.513
224,0.17,0.833,0.627,0.102,0.253,1.513
225,0.18,0.909,0.683,0.143,0.413,2.322
226,0.17,0.833,0.627,0.102,0.253,1.513
227,0.18,0.909,0.683,0.143,0.413,2.322
228,0.18,0.909,0.683,0.143,0.413,2.322
229,0.17,0.833,0.627,0.102,0.253,1.513
230,0.18,0.909,0.683,0.143,0.413,2.322
231,0.18,0.909,0.683,0.143,0.413,2.322
232,0.17,0.833,0.627,0.102,0.253,1.513
233,0.17,0.833,0.627,0.102,0.253,1.513
234,0.17,0.833,0.627,0.102,0.253,1.513
235,0.17,0.833,0.627,0.102,0.253,1.513
236,0.17,0.833,0.627,0.102,0.253,1.513
237,0.18,0.909,0.683,0.143,0.413,2.322
238,0.17,0.833,0.627,0.102,0.253,1.513
239,0.18,0.909,0.683,0.143,0.413,2.322
240,0.18,0.909,0.683,0.143,0.413,2.322
241,0.17,0.833,0.627,0.102,0.253,1.513
242,0.17,0.833,0.627,0.102,0.253,1.513
243,0.17,0.833,0.627,0.102,0.253,1.513
244,0.18,0.909,0.683,0.143,0.413,2.322
245,0.18,0.909,0.683,0.143,0.413,2.322
246,0.17,0.833,0.627,0.102,0.253,1.513
247,0.17,0.833,0.627,0.102,0.253,1.513
248,0.18,0.909,0.683,0.143,0.413,2.322
249,0.17,0.833,0.627,0.102,0.253,1.513
250,0.17,0.833,0.627,0.102,0.253,1.513
251,0.17,0.833,0.627,0.102,0.253,1.513
252,0.17,0.833,0.627,0.102,0.253,1.513
253,0.17,0.833,0.627,0.102,0.253,1.513
254,0.18,0.909,0.683,0.143,0.413,2.322
255,0.18,0.909,0.683,0.143,0.413,2.322
256,0.17,0.833,0.627,0.102,0.253,1.513
257,0.18,0.909,0.683,0.143,0.413,2.322
258,0.17,0.833,0.627,0.102,0.253,1.513
259,0.18,0.909,0.683,0.143,0.413,2.322
260,0.17,0.833,0.627,0.102,0.253,1.513
261,0.18,0.909,0.683,0.143,0.413,2.322
262,0.18,0.909,0.683,0.143,0.413,2.322
263,0.17,0.833,0.627,0.102,0.253,1.513
264,0.17,0.833,0.627,0.102,0.253,1.513
265,0.18,0.909,0.683,0.143,0.413,2.322
266,0.18,0.909,0.683,0.143,0.413,2.322
267,0.17,0.833,0.627,0.102,0.253,1.513
268,0.18,0.909,0.683,0.143,0.413,2.322
269,0.17,0.833,0.627,0.102,0.253,1.513
270,0.17,0.833,0.627,0.102,0.253,1.513
271,0.17,0.833,0.627,0.102,0.253,1.513
272,0.18,0.909,0.683,0.143,0.413,2.322
273,0.17,0.833,0.627,0.102,0.253,1.513
274,0.17,0.833,0.627,0.102,0.253,1.513
275,0.17,0.833,0.627,0.102,0.253,1.513
276,0.17,0.833,0.627,0.102,0.253,1.513
277,0.17,0.833,0.627,0.102,0.253,1.513
278,0.16,0.76,0.573,0.071,0.151,0.961
279,0.17,0.833,0.627,0.102,0.253,1.513
280,0.18,0.909,0.683,0.143,0.413,2.322
281,0.18,0.909,0.683,0.143,0.413,2.322
282,0.17,0.833,0.627,0.102,0.253,1.513
283,0.18,0.909,0.683,0.143,0.413,2.322
284,0.17,0.833,0.627,0.102,0.253,1.513
285,0.17,0.833,0.627,0.102,0.253,1.513
286,0.17,0.833,0.627,0.102,0.253,1.513
287,0.18,0.909,0.683,0.143,0.413,2.322
288,0.18,0.909,0.683,0.143,0.413,2.322
289,0.17,0.833,0.627,0.102,0.253,1.513
290,0.17,0.833,0.627,0.102,0.253,1.513
291,0.17,0.833,0.627,0.102,0.253,1.513
292,0.17,0.833,0.627,0.102,0.253,1.513
293,0.17,0.833,0.627,0.102,0.253,1.513
294,0.18,0.909,0.683,0.143,0.413,2.322
295,0.17,0.833,0.627,0.102,0.253,1.513
296,0.17,0.833,0.627,0.102,0.253,1.513
297,0.18,0.909,0.683,0.143,0.413,2.322
298,0.18,0.909,0.683,0.143,0.413,2.322
299,0.17,0.833,0.627,0.102,0.253,1.513
300,0.17,0.833,0.627,0.102,0.253,1.513
301,0.17,0.833,0.627,0.102,0.253,1.513
302,0.17,0.833,0.627,0.102,0.253,1.513
303,0.19,0.987,0.741,0.199,0.657,3.486
304,0.17,0.833,0.627,0.102,0.253,1.513
305,0.17,0.833,0.627,0.102,0.253,1.513
306,0.18,0.909,0.683,0.143,0.413,2.322
307,0.17,0.833,0.627,0.102,0.253,1.513
308,0.17,0.833,0.627,0.102,0.253,1.513
309,0.17,0.833,0.627,0.102,0.253,1.513
310,0.17,0.833,0.627,0.102,0.253,1.513
311,0.17,0.833,0.627,0.102,0.253,1.513
312,0.18,0.909,0.683,0.143,0.413,2.322
313,0.17,0.833,0.627,0.102,0.253,1.513
314,0.18,0.909,0.683,0.143,0.413,2.322
315,0.17,0.833,0.627,0.102,0.253,1.513
316,0.18,0.909,0.683,0.143,0.413,2.322
317,0.17,0.833,0.627,0.102,0.253,1.513
318,0.17,0.833,0.627,0.102,0.253,1.513
319,0.17,0.833,0.627,0.102,0.253,1.513
320,0.18,0.909,0.683,0.143,0.413,2.322
321,0.17,0.833,0.627,0.102,0.253,1.513
322,0.17,0.833,0.627,0.102,0.253,1.513
323,0.17,0.833,0.627,0.102,0.253,1.513
324,0.17,0.833,0.627,0.102,0.253,1.513
325,0.17,0.833,0.627,0.102,0.253,1.513
326,0.17,0.833,0.627,0.102,0.253,1.513
327,0.18,0.909,0.683,0.143,0.413,2.322
328,0.17,0.833,0.627,0.102,0.253,1.513
329,0.17,0.833,0.627,0.102,0.253,1.513
330,0.17,0.833,0.627,0.102,0.253,1.513
331,0.17,0.833,0.627,0.102,0.253,1.513
332,0.17,0.833,0.627,0.102,0.253,1.513
333,0.17,0.833,0.627,0.102,0.253,1.513
334,0.17,0.833,0.627,0.102,0.253,1.513
335,0.18,0.909,0.683,0.143,0.413,2.322
336,0.17,0.833,0.627,0.102,0.253,1.513
337,0.17,0.833,0.627,0.102,0.253,1.513
338,0.17,0.833,0.627,0.102,0.253,1.513
339,0.17,0.833,0.627,0.102,0.253,1.513
340,0.17,0.833,0.627,0.102,0.253,1.513
341,0.17,0.833,0.627,0.102,0.253,1.513
342,0.17,0.833,0.627,0.102,0.253,1.513
343,0.17,0.833,0.627,0.102,0.253,1.513
344,0.18,0.909,0.683,0.143,0.413,2.322
345,0.18,0.909,0.683,0.143,0.413,2.322
346,0.17,0.833,0.627,0.102,0.253,1.513
347,0.16,0.76,0.573,0.071,0.151,0.961
348,0.18,0.909,0.683,0.143,0.413,2.322
349,0.17,0.833,0.627,0.102,0.253,1.513
350,0.18,0.909,0.683,0.143,0.413,2.322
351,0.17,0.833,0.627,0.102,0.253,1.513
352,0.17,0.833,0.627,0.102,0.253,1.513
353,0.17,0.833,0.627,0.102,0.253,1.513
354,0.17,0.833,0.627,0.102,0.253,1.513
355,0.18,0.909,0.683,0.143,0.413,2.322
356,0.17,0.833,0.627,0.102,0.253,1.513
357,0.17,0.833,0.627,0.102,0.253,1.513
358,0.17,0.833,0.627,0.102,0.253,1.513
359,0.18,0.909,0.683,0.143,0.413,2.322
360,0.17,0.833,0.627,0.102,0.253,1.513
361,0.17,0.833,0.627,0.102,0.253,1.513
362,0.17,0.833,0.627,0.102,0.253,1.513
363,0.18,0.909,0.683,0.143,0.413,2.322
364,0.17,0.833,0.627,0.102,0.253,1.513
365,0.18,0.909,0.683,0.143,0.413,2.322
366,0.17,0.833,0.627,0.102,0.253,1.513
367,0.17,0.833,0.627,0.102,0.253,1.513
368,0.17,0.833,0.627,0.102,0.253,1.513
369,0.17,0.833,0.627,0.102,0.253,1.513
