id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
122,0.18,0.57,0.01,1.03,0.13,0.23
123,0.18,0.58,0.01,1.04,0.14,0.22
124,0.18,0.57,0.02,1.04,0.13,0.23
125,0.18,0.57,0.01,1.04,0.12,0.22
126,0.18,0.57,0.01,1.03,0.13,0.23
127,0.19,0.57,0.01,1.03,0.13,0.22
128,0.18,0.58,0.01,1.03,0.13,0.23
129,0.18,0.57,0.02,1.04,0.13,0.22
130,0.18,0.57,0.01,1.03,0.14,0.22
131,0.18,0.57,0.02,1.04,0.13,0.23
132,0.18,0.58,0.01,1.03,0.13,0.23
133,0.18,0.58,0.01,1.04,0.13,0.23
134,0.18,0.57,0.01,1.03,0.13,0.22
135,0.18,0.57,0.01,1.03,0.13,0.22
136,0.18,0.58,0.01,1.04,0.12,0.22
137,0.17,0.57,0.00,1.04,0.13,0.21
138,0.19,0.57,0.01,1.04,0.13,0.22
139,0.18,0.58,0.02,1.04,0.13,0.22
140,0.18,0.57,0.02,1.04,0.13,0.21
141,0.18,0.57,0.02,1.04,0.13,0.23
142,0.17,0.59,0.01,1.05,0.14,0.24
143,0.18,0.57,0.02,1.04,0.12,0.22
144,0.18,0.58,0.01,1.04,0.13,0.23
145,0.18,0.57,0.01,1.04,0.13,0.23
146,0.18,0.58,0.01,1.04,0.13,0.22
147,0.18,0.58,0.01,1.04,0.11,0.24
148,0.18,0.57,0.01,1.04,0.13,0.23
149,0.18,0.58,0.02,1.04,0.13,0.22
150,0.18,0.57,0.02,1.04,0.13,0.22
151,0.18,0.58,0.02,1.05,0.13,0.22
152,0.18,0.58,0.02,1.04,0.13,0.23
153,0.19,0.58,0.01,1.04,0.15,0.22
154,0.18,0.58,0.01,1.04,0.13,0.22
155,0.18,0.56,0.00,1.03,0.15,0.22
156,0.18,0.58,0.02,1.03,0.13,0.22
157,0.18,0.58,0.02,1.04,0.14,0.23
158,0.19,0.57,0.02,1.04,0.12,0.23
159,0.18,0.58,0.02,1.04,0.13,0.23
160,0.18,0.57,0.02,1.04,0.13,0.22
161,0.18,0.58,0.01,1.04,0.13,0.23
162,0.18,0.58,0.02,1.05,0.13,0.22
163,0.18,0.58,0.02,1.04,0.12,0.23
164,0.18,0.58,0.01,1.04,0.13,0.22
165,0.18,0.57,0.02,1.04,0.12,0.22
166,0.18,0.58,0.01,1.04,0.13,0.22
167,0.17,0.57,0.01,1.04,0.14,0.22
168,0.18,0.59,0.01,1.05,0.14,0.22
169,0.18,0.58,0.01,1.04,0.13,0.22
170,0.17,0.59,0.02,1.04,0.13,0.22
171,0.18,0.58,0.01,1.04,0.13,0.22
172,0.18,0.57,0.02,1.04,0.12,0.22
173,0.18,0.58,0.02,1.04,0.13,0.22
174,0.18,0.58,0.01,1.04,0.13,0.22
175,0.18,0.59,0.02,1.03,0.15,0.23
176,0.17,0.58,0.01,1.03,0.12,0.22
177,0.18,0.58,0.02,1.04,0.13,0.22
178,0.18,0.58,0.01,1.04,0.12,0.23
