,volt,co,h2,lpg,ch4,alcohol
122,0.19,0.987,0.741,0.199,0.657,3.486
123,0.19,0.987,0.741,0.199,0.657,3.486
124,0.19,0.987,0.741,0.199,0.657,3.486
125,0.18,0.909,0.683,0.143,0.413,2.322
126,0.19,0.987,0.741,0.199,0.657,3.486
127,0.19,0.987,0.741,0.199,0.657,3.486
128,0.19,0.987,0.741,0.199,0.657,3.486
129,0.2,1.067,0.801,0.271,1.022,5.13
130,0.19,0.987,0.741,0.199,0.657,3.486
131,0.2,1.067,0.801,0.271,1.022,5.13
132,0.2,1.067,0.801,0.271,1.022,5.13
133,0.19,0.987,0.741,0.199,0.657,3.486
134,0.2,1.067,0.801,0.271,1.022,5.13
135,0.2,1.067,0.801,0.271,1.022,5.13
136,0.2,1.067,0.801,0.271,1.022,5.13
137,0.19,0.987,0.741,0.199,0.657,3.486
138,0.21,1.149,0.862,0.363,1.557,7.414
139,0.2,1.067,0.801,0.271,1.022,5.13
140,0.2,1.067,0.801,0.271,1.022,5.13
141,0.2,1.067,0.801,0.271,1.022,5.13
142,0.2,1.067,0.801,0.271,1.022,5.13
143,0.2,1.067,0.801,0.271,1.022,5.13
144,0.2,1.067,0.801,0.271,1.022,5.13
145,0.19,0.987,0.741,0.199,0.657,3.486
146,0.19,0.987,0.741,0.199,0.657,3.486
147,0.2,1.067,0.801,0.271,1.022,5.13
148,0.2,1.067,0.801,0.271,1.022,5.13
149,0.2,1.067,0.801,0.271,1.022,5.13
150,0.2,1.067,0.801,0.271,1.022,5.13
151,0.19,0.987,0.741,0.199,0.657,3.486
152,0.2,1.067,0.801,0.271,1.022,5.13
153,0.19,0.987,0.741,0.199,0.657,3.486
154,0.19,0.987,0.741,0.199,0.657,3.486
155,0.2,1.067,0.801,0.271,1.022,5.13
156,0.2,1.067,0.801,0.271,1.022,5.13
157,0.2,1.067,0.801,0.271,1.022,5.13
158,0.2,1.067,0.801,0.271,1.022,5.13
159,0.2,1.067,0.801,0.271,1.022,5.13
160,0.19,0.987,0.741,0.199,0.657,3.486
161,0.19,0.987,0.741,0.199,0.657,3.486
162,0.2,1.067,0.801,0.271,1.022,5.13
163,0.19,0.987,0.741,0.199,0.657,3.486
164,0.2,1.067,0.801,0.271,1.022,5.13
165,0.19,0.987,0.741,0.199,0.657,3.486
166,0.2,1.067,0.801,0.271,1.022,5.13
167,0.2,1.067,0.801,0.271,1.022,5.13
168,0.2,1.067,0.801,0.271,1.022,5.13
169,0.19,0.987,0.741,0.199,0.657,3.486
170,0.2,1.067,0.801,0.271,1.022,5.13
171,0.2,1.067,0.801,0.271,1.022,5.13
172,0.19,0.987,0.741,0.199,0.657,3.486
173,0.2,1.067,0.801,0.271,1.022,5.13
174,0.19,0.987,0.741,0.199,0.657,3.486
175,0.19,0.987,0.741,0.199,0.657,3.486
176,0.19,0.987,0.741,0.199,0.657,3.486
177,0.2,1.067,0.801,0.271,1.022,5.13
178,0.2,1.067,0.801,0.271,1.022,5.13
179,0.19,0.987,0.741,0.199,0.657,3.486
180,0.19,0.987,0.741,0.199,0.657,3.486
181,0.2,1.067,0.801,0.271,1.022,5.13
182,0.2,1.067,0.801,0.271,1.022,5.13
183,0.2,1.067,0.801,0.271,1.022,5.13
184,0.2,1.067,0.801,0.271,1.022,5.13
185,0.2,1.067,0.801,0.271,1.022,5.13
186,0.2,1.067,0.801,0.271,1.022,5.13
187,0.2,1.067,0.801,0.271,1.022,5.13
188,0.2,1.067,0.801,0.271,1.022,5.13
189,0.2,1.067,0.801,0.271,1.022,5.13
190,0.2,1.067,0.801,0.271,1.022,5.13
191,0.21,1.149,0.862,0.363,1.557,7.414
192,0.21,1.149,0.862,0.363,1.557,7.414
193,0.21,1.149,0.862,0.363,1.557,7.414
194,0.21,1.149,0.862,0.363,1.557,7.414
195,0.2,1.067,0.801,0.271,1.022,5.13
196,0.2,1.067,0.801,0.271,1.022,5.13
197,0.2,1.067,0.801,0.271,1.022,5.13
198,0.2,1.067,0.801,0.271,1.022,5.13
199,0.21,1.149,0.862,0.363,1.557,7.414
200,0.2,1.067,0.801,0.271,1.022,5.13
201,0.2,1.067,0.801,0.271,1.022,5.13
202,0.2,1.067,0.801,0.271,1.022,5.13
203,0.2,1.067,0.801,0.271,1.022,5.13
204,0.2,1.067,0.801,0.271,1.022,5.13
205,0.2,1.067,0.801,0.271,1.022,5.13
206,0.2,1.067,0.801,0.271,1.022,5.13
207,0.2,1.067,0.801,0.271,1.022,5.13
208,0.2,1.067,0.801,0.271,1.022,5.13
209,0.2,1.067,0.801,0.271,1.022,5.13
210,0.2,1.067,0.801,0.271,1.022,5.13
211,0.2,1.067,0.801,0.271,1.022,5.13
212,0.2,1.067,0.801,0.271,1.022,5.13
213,0.2,1.067,0.801,0.271,1.022,5.13
214,0.2,1.067,0.801,0.271,1.022,5.13
215,0.2,1.067,0.801,0.271,1.022,5.13
216,0.19,0.987,0.741,0.199,0.657,3.486
