,volt,co,h2,lpg,ch4,alcohol
122,0.11,0.802,0.604,0.088,0.205,1.256
123,0.12,0.914,0.687,0.147,0.427,2.393
124,0.11,0.802,0.604,0.088,0.205,1.256
125,0.11,0.802,0.604,0.088,0.205,1.256
126,0.12,0.914,0.687,0.147,0.427,2.393
127,0.11,0.802,0.604,0.088,0.205,1.256
128,0.12,0.914,0.687,0.147,0.427,2.393
129,0.12,0.914,0.687,0.147,0.427,2.393
130,0.12,0.914,0.687,0.147,0.427,2.393
131,0.11,0.802,0.604,0.088,0.205,1.256
132,0.11,0.802,0.604,0.088,0.205,1.256
133,0.11,0.802,0.604,0.088,0.205,1.256
134,0.11,0.802,0.604,0.088,0.205,1.256
135,0.11,0.802,0.604,0.088,0.205,1.256
136,0.1,0.696,0.525,0.05,0.091,0.621
137,0.12,0.914,0.687,0.147,0.427,2.393
138,0.12,0.914,0.687,0.147,0.427,2.393
139,0.11,0.802,0.604,0.088,0.205,1.256
140,0.12,0.914,0.687,0.147,0.427,2.393
141,0.11,0.802,0.604,0.088,0.205,1.256
142,0.12,0.914,0.687,0.147,0.427,2.393
143,0.11,0.802,0.604,0.088,0.205,1.256
144,0.11,0.802,0.604,0.088,0.205,1.256
145,0.11,0.802,0.604,0.088,0.205,1.256
146,0.12,0.914,0.687,0.147,0.427,2.393
147,0.12,0.914,0.687,0.147,0.427,2.393
148,0.12,0.914,0.687,0.147,0.427,2.393
149,0.12,0.914,0.687,0.147,0.427,2.393
150,0.12,0.914,0.687,0.147,0.427,2.393
151,0.11,0.802,0.604,0.088,0.205,1.256
152,0.11,0.802,0.604,0.088,0.205,1.256
153,0.12,0.914,0.687,0.147,0.427,2.393
154,0.11,0.802,0.604,0.088,0.205,1.256
155,0.11,0.802,0.604,0.088,0.205,1.256
156,0.11,0.802,0.604,0.088,0.205,1.256
157,0.11,0.802,0.604,0.088,0.205,1.256
158,0.11,0.802,0.604,0.088,0.205,1.256
159,0.11,0.802,0.604,0.088,0.205,1.256
160,0.11,0.802,0.604,0.088,0.205,1.256
161,0.11,0.802,0.604,0.088,0.205,1.256
162,0.11,0.802,0.604,0.088,0.205,1.256
163,0.12,0.914,0.687,0.147,0.427,2.393
164,0.12,0.914,0.687,0.147,0.427,2.393
165,0.11,0.802,0.604,0.088,0.205,1.256
166,0.1,0.696,0.525,0.05,0.091,0.621
167,0.11,0.802,0.604,0.088,0.205,1.256
168,0.12,0.914,0.687,0.147,0.427,2.393
169,0.11,0.802,0.604,0.088,0.205,1.256
170,0.11,0.802,0.604,0.088,0.205,1.256
171,0.11,0.802,0.604,0.088,0.205,1.256
172,0.11,0.802,0.604,0.088,0.205,1.256
173,0.12,0.914,0.687,0.147,0.427,2.393
174,0.11,0.802,0.604,0.088,0.205,1.256
175,0.11,0.802,0.604,0.088,0.205,1.256
176,0.11,0.802,0.604,0.088,0.205,1.256
177,0.12,0.914,0.687,0.147,0.427,2.393
178,0.11,0.802,0.604,0.088,0.205,1.256
179,0.12,0.914,0.687,0.147,0.427,2.393
180,0.11,0.802,0.604,0.088,0.205,1.256
181,0.11,0.802,0.604,0.088,0.205,1.256
182,0.11,0.802,0.604,0.088,0.205,1.256
183,0.11,0.802,0.604,0.088,0.205,1.256
184,0.11,0.802,0.604,0.088,0.205,1.256
185,0.11,0.802,0.604,0.088,0.205,1.256
186,0.11,0.802,0.604,0.088,0.205,1.256
187,0.12,0.914,0.687,0.147,0.427,2.393
188,0.12,0.914,0.687,0.147,0.427,2.393
189,0.11,0.802,0.604,0.088,0.205,1.256
190,0.12,0.914,0.687,0.147,0.427,2.393
191,0.12,0.914,0.687,0.147,0.427,2.393
192,0.12,0.914,0.687,0.147,0.427,2.393
193,0.12,0.914,0.687,0.147,0.427,2.393
