id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
122,0.24,0.11,0.18,0.15,0.04,0.18
123,0.24,0.12,0.18,0.15,0.04,0.18
124,0.23,0.11,0.17,0.15,0.05,0.18
125,0.23,0.11,0.18,0.15,0.05,0.17
126,0.23,0.12,0.17,0.16,0.04,0.18
127,0.23,0.12,0.18,0.15,0.04,0.17
128,0.24,0.12,0.18,0.15,0.05,0.18
129,0.23,0.11,0.18,0.15,0.04,0.17
130,0.23,0.12,0.18,0.15,0.04,0.18
131,0.23,0.11,0.18,0.16,0.04,0.17
132,0.23,0.11,0.18,0.16,0.03,0.17
133,0.24,0.12,0.18,0.15,0.04,0.18
134,0.23,0.12,0.18,0.16,0.04,0.17
135,0.23,0.11,0.17,0.15,0.03,0.18
136,0.23,0.11,0.17,0.15,0.04,0.17
137,0.23,0.12,0.18,0.15,0.04,0.18
138,0.24,0.12,0.18,0.15,0.05,0.17
139,0.23,0.11,0.17,0.16,0.04,0.17
140,0.23,0.12,0.18,0.16,0.04,0.18
141,0.23,0.12,0.18,0.16,0.04,0.18
142,0.23,0.12,0.18,0.15,0.03,0.16
143,0.23,0.11,0.18,0.15,0.04,0.19
144,0.23,0.12,0.17,0.16,0.04,0.17
145,0.23,0.12,0.18,0.15,0.04,0.18
146,0.24,0.12,0.17,0.16,0.04,0.18
147,0.23,0.11,0.18,0.15,0.04,0.18
148,0.23,0.11,0.18,0.15,0.04,0.18
149,0.23,0.11,0.18,0.15,0.04,0.18
150,0.23,0.11,0.18,0.15,0.04,0.18
151,0.23,0.12,0.18,0.15,0.04,0.18
152,0.24,0.11,0.17,0.16,0.04,0.18
153,0.23,0.11,0.18,0.15,0.04,0.18
154,0.23,0.11,0.18,0.15,0.03,0.18
155,0.23,0.11,0.18,0.15,0.04,0.18
156,0.23,0.11,0.18,0.15,0.03,0.16
157,0.23,0.12,0.17,0.15,0.04,0.18
158,0.23,0.13,0.17,0.15,0.03,0.18
159,0.23,0.11,0.17,0.15,0.04,0.17
160,0.23,0.11,0.18,0.15,0.04,0.18
161,0.24,0.11,0.17,0.15,0.04,0.18
162,0.24,0.12,0.17,0.15,0.04,0.16
163,0.23,0.11,0.17,0.15,0.04,0.18
164,0.24,0.11,0.18,0.15,0.03,0.18
165,0.23,0.11,0.18,0.15,0.04,0.18
166,0.23,0.11,0.16,0.15,0.03,0.17
167,0.24,0.12,0.18,0.16,0.03,0.18
168,0.23,0.12,0.17,0.15,0.04,0.18
169,0.24,0.11,0.17,0.15,0.03,0.18
170,0.23,0.13,0.18,0.15,0.04,0.17
171,0.24,0.12,0.18,0.15,0.03,0.18
172,0.24,0.11,0.18,0.15,0.03,0.17
173,0.24,0.12,0.17,0.15,0.04,0.18
174,0.22,0.12,0.18,0.15,0.04,0.18
175,0.24,0.12,0.18,0.16,0.04,0.17
176,0.23,0.12,0.17,0.15,0.04,0.18
177,0.23,0.12,0.18,0.15,0.03,0.18
178,0.24,0.12,0.18,0.15,0.04,0.18
179,0.24,0.12,0.18,0.15,0.04,0.18
180,0.23,0.11,0.17,0.15,0.04,0.17
181,0.23,0.12,0.17,0.16,0.04,0.19
182,0.24,0.11,0.18,0.15,0.04,0.18
183,0.24,0.12,0.17,0.16,0.04,0.17
184,0.23,0.12,0.17,0.15,0.04,0.18
185,0.24,0.11,0.17,0.15,0.03,0.18
186,0.24,0.12,0.18,0.16,0.04,0.18
187,0.24,0.12,0.18,0.15,0.04,0.18
188,0.24,0.12,0.17,0.15,0.04,0.18
189,0.23,0.12,0.17,0.15,0.04,0.17
190,0.23,0.12,0.18,0.16,0.04,0.18
191,0.23,0.12,0.17,0.16,0.04,0.17
192,0.23,0.11,0.18,0.15,0.03,0.17
193,0.23,0.12,0.18,0.16,0.04,0.17
194,0.24,0.11,0.17,0.16,0.03,0.17
195,0.24,0.11,0.17,0.15,0.03,0.17
196,0.23,0.11,0.17,0.16,0.04,0.19
197,0.23,0.12,0.18,0.15,0.04,0.17
198,0.24,0.11,0.17,0.16,0.03,0.17
199,0.23,0.11,0.18,0.15,0.04,0.17
200,0.23,0.12,0.18,0.15,0.04,0.18
201,0.24,0.12,0.18,0.16,0.03,0.17
202,0.23,0.12,0.18,0.16,0.04,0.18
203,0.23,0.12,0.17,0.15,0.04,0.17
204,0.23,0.12,0.17,0.16,0.04,0.17
205,0.23,0.12,0.19,0.15,0.04,0.17
206,0.23,0.12,0.17,0.15,0.04,0.17
207,0.23,0.11,0.17,0.15,0.04,0.17
208,0.23,0.12,0.18,0.15,0.04,0.17
209,0.23,0.12,0.18,0.15,0.04,0.18
210,0.23,0.11,0.18,0.16,0.04,0.18
211,0.23,0.11,0.17,0.15,0.04,0.17
212,0.24,0.12,0.18,0.15,0.04,0.18
213,0.23,0.11,0.17,0.15,0.04,0.17
214,0.23,0.11,0.18,0.15,0.04,0.17
215,0.23,0.11,0.18,0.15,0.04,0.17
216,0.23,0.11,0.18,0.15,0.04,0.17
217,0.23,0.11,0.18,0.15,0.04,0.18
218,0.24,0.11,0.18,0.15,0.03,0.19
219,0.24,0.11,0.18,0.15,0.04,0.18
220,0.23,0.12,0.17,0.15,0.04,0.17
221,0.23,0.11,0.18,0.15,0.04,0.17
222,0.23,0.12,0.17,0.15,0.05,0.18
223,0.24,0.12,0.17,0.16,0.04,0.18
224,0.24,0.12,0.17,0.15,0.04,0.17
225,0.23,0.11,0.17,0.15,0.04,0.17
226,0.23,0.12,0.18,0.15,0.04,0.17
227,0.24,0.12,0.17,0.15,0.04,0.17
228,0.23,0.11,0.18,0.15,0.04,0.19
229,0.23,0.12,0.17,0.15,0.04,0.18
230,0.23,0.12,0.18,0.15,0.03,0.17
231,0.24,0.12,0.18,0.15,0.03,0.18
232,0.24,0.11,0.18,0.16,0.04,0.18
233,0.23,0.11,0.18,0.16,0.03,0.18
234,0.23,0.12,0.17,0.16,0.04,0.18
235,0.24,0.11,0.18,0.15,0.04,0.18
236,0.24,0.12,0.17,0.16,0.03,0.18
237,0.23,0.12,0.18,0.16,0.04,0.18
238,0.23,0.12,0.17,0.15,0.04,0.18
239,0.24,0.12,0.18,0.14,0.05,0.17
240,0.24,0.12,0.18,0.15,0.04,0.18
241,0.23,0.11,0.18,0.16,0.04,0.17
242,0.23,0.11,0.17,0.15,0.04,0.18
243,0.23,0.12,0.18,0.15,0.04,0.17
244,0.23,0.12,0.18,0.15,0.04,0.18
245,0.23,0.12,0.18,0.16,0.05,0.18
246,0.24,0.12,0.17,0.15,0.04,0.17
247,0.23,0.11,0.17,0.15,0.04,0.17
248,0.23,0.11,0.16,0.15,0.04,0.18
249,0.23,0.12,0.18,0.15,0.04,0.17
250,0.24,0.11,0.17,0.15,0.03,0.17
251,0.24,0.12,0.18,0.15,0.04,0.18
252,0.24,0.12,0.17,0.15,0.04,0.18
253,0.24,0.11,0.17,0.16,0.05,0.17
254,0.23,0.11,0.17,0.14,0.04,0.17
255,0.24,0.12,0.17,0.16,0.03,0.18
256,0.23,0.12,0.18,0.15,0.04,0.18
257,0.23,0.11,0.17,0.15,0.04,0.18
258,0.23,0.12,0.18,0.15,0.04,0.18
259,0.23,0.11,0.18,0.15,0.03,0.18
260,0.24,0.12,0.17,0.16,0.04,0.17
261,0.24,0.12,0.18,0.16,0.04,0.18
262,0.23,0.11,0.17,0.15,0.04,0.18
263,0.23,0.12,0.18,0.15,0.04,0.18
264,0.23,0.12,0.17,0.15,0.04,0.18
265,0.23,0.10,0.17,0.16,0.04,0.19
266,0.23,0.12,0.17,0.15,0.04,0.18
267,0.24,0.12,0.18,0.16,0.04,0.18
268,0.23,0.12,0.18,0.15,0.04,0.17
269,0.23,0.12,0.18,0.16,0.04,0.18
270,0.24,0.11,0.17,0.15,0.04,0.18
271,0.24,0.11,0.17,0.16,0.04,0.18
272,0.23,0.12,0.17,0.15,0.04,0.18
273,0.22,0.11,0.17,0.16,0.04,0.17
274,0.23,0.11,0.17,0.16,0.04,0.17
275,0.24,0.11,0.17,0.16,0.04,0.18
276,0.24,0.12,0.17,0.15,0.04,0.18
277,0.23,0.11,0.17,0.14,0.03,0.17
278,0.23,0.11,0.17,0.15,0.04,0.18
279,0.23,0.12,0.18,0.16,0.04,0.18
280,0.23,0.12,0.17,0.15,0.04,0.18
281,0.23,0.11,0.17,0.15,0.04,0.18
282,0.23,0.11,0.18,0.16,0.04,0.17
283,0.23,0.11,0.18,0.14,0.03,0.17
284,0.24,0.13,0.17,0.15,0.03,0.19
285,0.23,0.11,0.17,0.15,0.04,0.18
286,0.24,0.12,0.17,0.15,0.04,0.18
287,0.23,0.11,0.18,0.16,0.04,0.18
288,0.23,0.11,0.18,0.15,0.04,0.17
289,0.23,0.11,0.17,0.15,0.04,0.18
290,0.23,0.12,0.17,0.15,0.04,0.18
291,0.23,0.11,0.17,0.15,0.03,0.18
292,0.23,0.11,0.17,0.15,0.05,0.18
293,0.24,0.11,0.18,0.15,0.03,0.19
294,0.23,0.11,0.17,0.15,0.04,0.18
295,0.23,0.12,0.17,0.15,0.04,0.17
296,0.23,0.11,0.18,0.15,0.04,0.18
297,0.24,0.12,0.18,0.16,0.03,0.18
298,0.23,0.12,0.17,0.15,0.04,0.18
299,0.23,0.11,0.17,0.15,0.04,0.17
300,0.24,0.11,0.17,0.16,0.04,0.18
