id,volt,h2,lpg,ch4,co,alcohol,smoke,propane
0,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
1,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
2,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
3,0.59,7.168,3.837,5.871,23.124,6.769,12.667,5.139
4,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
5,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
6,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
7,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
8,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
9,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
10,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
11,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
12,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
13,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
14,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
15,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
16,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
17,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
18,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
19,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
20,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
21,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
22,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
23,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
24,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
25,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
26,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
27,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
28,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
29,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
30,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
31,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
32,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
33,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
34,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
35,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
36,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
37,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
38,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
39,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
40,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
41,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
42,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
43,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
44,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
45,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
46,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
47,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
48,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
49,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
50,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
51,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
52,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
53,0.6,7.467,4.0,6.219,24.657,7.132,13.311,5.348
54,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
55,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
56,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
57,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
58,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
59,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
60,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
61,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
62,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
63,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
64,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
65,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
66,0.61,7.775,4.168,6.583,26.267,7.509,13.977,5.562
67,0.62,8.09,4.34,6.962,27.957,7.901,14.667,5.781
68,0.63,8.414,4.517,7.358,29.731,8.307,15.38,6.006
69,0.64,8.746,4.698,7.77,31.591,8.728,16.118,6.236
70,0.67,9.793,5.27,9.112,37.72,10.084,18.483,6.961
71,0.7,10.92,5.888,10.622,44.743,11.589,21.087,7.738
72,0.7,10.92,5.888,10.622,44.743,11.589,21.087,7.738
73,0.72,11.717,6.325,11.73,49.968,12.68,22.964,8.287
74,0.73,12.13,6.551,12.316,52.755,13.253,23.947,8.57
75,0.74,12.552,6.783,12.925,55.663,13.845,24.96,8.86
76,0.74,12.552,6.783,12.925,55.663,13.845,24.96,8.86
77,0.74,12.552,6.783,12.925,55.663,13.845,24.96,8.86
78,0.76,13.426,7.264,14.21,61.859,15.088,27.079,9.459
79,0.78,14.341,7.767,15.591,68.589,16.413,29.327,10.085
80,0.82,16.295,8.844,18.665,83.798,19.322,34.232,11.418
81,0.83,16.811,9.128,19.502,87.992,20.106,35.547,11.769
82,0.84,17.337,9.419,20.368,92.352,20.914,36.899,12.128
83,0.86,18.425,10.02,22.189,101.593,22.603,39.719,12.866
84,0.88,19.558,10.647,24.136,111.564,24.395,42.697,13.635
85,0.91,21.349,11.639,27.306,127.99,27.283,47.474,14.847
86,0.94,23.253,12.695,30.796,146.325,30.427,52.644,16.132
87,0.96,24.586,13.435,33.312,159.695,32.673,56.32,17.031
88,1.0,27.416,15.009,38.836,189.437,37.551,64.259,18.933
89,1.03,29.687,16.274,43.442,214.609,41.568,70.757,20.456
90,1.06,32.092,17.615,48.478,242.479,45.916,77.753,22.065
91,1.1,35.516,19.527,55.918,284.248,52.262,87.904,24.35
92,1.15,40.167,22.129,66.5,344.738,61.158,102.025,27.444
93,1.19,44.204,24.392,76.103,400.589,69.116,114.566,30.121
94,1.23,48.541,26.827,86.825,463.894,77.891,128.308,32.99
95,1.25,50.827,28.112,92.639,498.602,82.606,135.659,34.499
96,1.28,54.41,30.128,101.967,549.182,90.116,147.32,36.861
97,1.29,55.647,30.824,105.246,566.918,92.74,151.383,37.675
98,1.3,56.905,31.533,108.613,585.133,95.427,155.537,38.503
99,1.31,58.186,32.254,112.07,603.839,98.177,159.783,39.345
100,1.32,59.488,32.989,115.62,623.046,100.993,164.123,40.201
101,1.33,60.814,33.736,119.264,642.766,103.875,168.559,41.071
102,1.36,64.929,36.058,130.784,705.129,112.935,182.462,43.77
103,1.37,66.348,36.859,134.828,727.026,116.097,187.301,44.699
104,1.4,70.753,39.349,147.605,796.225,126.032,202.458,47.582
105,1.46,80.263,44.731,176.292,950.248,148.057,235.848,53.787
106,1.54,94.521,52.821,221.944,1192.999,182.442,287.469,63.052
107,1.61,108.643,60.853,270.026,1447.406,217.95,340.243,72.19
108,1.66,119.77,67.194,309.774,1676.118,246.854,382.869,79.367
109,1.69,126.896,71.26,336.041,1832.791,265.764,410.612,83.953
110,1.72,134.378,75.534,364.28,2002.194,285.94,440.099,88.761
111,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
112,1.74,139.573,78.503,384.268,2105.443,300.133,460.777,92.094
113,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
114,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
115,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
116,1.81,159.142,89.705,462.259,2505.433,354.888,538.988,104.621
117,1.82,162.123,91.414,474.501,2567.839,363.4,550.906,106.526
118,1.82,162.123,91.414,474.501,2567.839,363.4,550.906,106.526
119,1.82,162.123,91.414,474.501,2567.839,363.4,550.906,106.526
120,1.82,162.123,91.414,474.501,2567.839,363.4,550.906,106.526
121,1.83,165.153,93.151,487.037,2631.647,372.096,563.058,108.46
122,1.81,159.142,89.705,462.259,2505.433,354.888,538.988,104.621
123,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
124,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
125,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
126,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
127,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
128,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
129,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
130,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
131,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
132,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
133,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
134,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
135,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
136,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
137,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
138,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
139,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
140,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
141,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
142,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
143,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
144,1.77,147.689,83.146,416.105,2269.248,322.599,493.404,97.295
145,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
146,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
147,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
148,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
149,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
150,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
151,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
152,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
153,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
154,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
155,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
156,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
157,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
158,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
159,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
160,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
161,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
162,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
163,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
164,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
165,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
166,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
167,1.78,150.483,84.745,427.234,2326.335,330.414,504.6,99.084
168,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
169,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
170,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
171,1.79,153.323,86.372,438.632,2384.71,338.398,515.839,100.901
172,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
173,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
174,1.81,159.142,89.705,462.259,2505.433,354.888,538.988,104.621
175,1.81,159.142,89.705,462.259,2505.433,354.888,538.988,104.621
176,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
177,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
178,1.75,142.235,80.025,394.627,2158.829,307.462,471.434,93.801
179,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
180,1.73,136.955,77.006,374.154,2053.24,292.96,450.333,90.414
181,1.76,144.94,81.573,405.238,2213.422,314.949,482.308,95.534
182,1.8,156.209,88.025,450.305,2444.4,346.555,527.301,102.747
183,1.82,162.123,91.414,474.501,2567.839,363.4,550.906,106.526
184,1.86,174.542,98.537,523.685,2831.795,399.324,600.967,114.449
185,1.87,177.775,100.393,535.964,2901.524,408.793,614.104,116.509
