,volt,lpg,co,ch4
177,0.15,0.015,0.003,0.012
178,0.15,0.015,0.003,0.012
179,0.15,0.015,0.003,0.012
180,0.14,0.01,0.002,0.007
181,0.15,0.015,0.003,0.012
182,0.15,0.015,0.003,0.012
183,0.14,0.01,0.002,0.007
184,0.15,0.015,0.003,0.012
185,0.15,0.015,0.003,0.012
186,0.16,0.021,0.005,0.019
187,0.15,0.015,0.003,0.012
188,0.15,0.015,0.003,0.012
189,0.15,0.015,0.003,0.012
190,0.14,0.01,0.002,0.007
191,0.16,0.021,0.005,0.019
192,0.14,0.01,0.002,0.007
193,0.15,0.015,0.003,0.012
194,0.16,0.021,0.005,0.019
195,0.15,0.015,0.003,0.012
196,0.15,0.015,0.003,0.012
197,0.15,0.015,0.003,0.012
198,0.15,0.015,0.003,0.012
199,0.15,0.015,0.003,0.012
200,0.15,0.015,0.003,0.012
201,0.15,0.015,0.003,0.012
202,0.14,0.01,0.002,0.007
203,0.15,0.015,0.003,0.012
204,0.15,0.015,0.003,0.012
205,0.15,0.015,0.003,0.012
206,0.15,0.015,0.003,0.012
207,0.15,0.015,0.003,0.012
208,0.16,0.021,0.005,0.019
209,0.15,0.015,0.003,0.012
210,0.15,0.015,0.003,0.012
211,0.15,0.015,0.003,0.012
212,0.16,0.021,0.005,0.019
213,0.16,0.021,0.005,0.019
214,0.17,0.029,0.007,0.03
215,0.17,0.029,0.007,0.03
216,0.17,0.029,0.007,0.03
217,0.18,0.04,0.009,0.047
218,0.18,0.04,0.009,0.047
219,0.18,0.04,0.009,0.047
220,0.18,0.04,0.009,0.047
221,0.18,0.04,0.009,0.047
222,0.18,0.04,0.009,0.047
223,0.18,0.04,0.009,0.047
224,0.18,0.04,0.009,0.047
225,0.17,0.029,0.007,0.03
226,0.17,0.029,0.007,0.03
227,0.18,0.04,0.009,0.047
228,0.18,0.04,0.009,0.047
229,0.17,0.029,0.007,0.03
230,0.18,0.04,0.009,0.047
231,0.18,0.04,0.009,0.047
232,0.17,0.029,0.007,0.03
233,0.18,0.04,0.009,0.047
234,0.18,0.04,0.009,0.047
235,0.17,0.029,0.007,0.03
236,0.17,0.029,0.007,0.03
237,0.17,0.029,0.007,0.03
238,0.18,0.04,0.009,0.047
239,0.18,0.04,0.009,0.047
240,0.18,0.04,0.009,0.047
241,0.18,0.04,0.009,0.047
242,0.18,0.04,0.009,0.047
243,0.18,0.04,0.009,0.047
244,0.18,0.04,0.009,0.047
245,0.18,0.04,0.009,0.047
246,0.18,0.04,0.009,0.047
247,0.18,0.04,0.009,0.047
248,0.18,0.04,0.009,0.047
249,0.18,0.04,0.009,0.047
250,0.18,0.04,0.009,0.047
251,0.19,0.054,0.013,0.072
252,0.18,0.04,0.009,0.047
253,0.2,0.072,0.017,0.107
254,0.19,0.054,0.013,0.072
