,volt,co,h2,lpg,ch4,alcohol
156,0.17,0.833,0.627,0.102,0.253,1.513
157,0.17,0.833,0.627,0.102,0.253,1.513
158,0.17,0.833,0.627,0.102,0.253,1.513
159,0.17,0.833,0.627,0.102,0.253,1.513
160,0.17,0.833,0.627,0.102,0.253,1.513
161,0.17,0.833,0.627,0.102,0.253,1.513
162,0.17,0.833,0.627,0.102,0.253,1.513
163,0.18,0.909,0.683,0.143,0.413,2.322
164,0.17,0.833,0.627,0.102,0.253,1.513
165,0.18,0.909,0.683,0.143,0.413,2.322
166,0.17,0.833,0.627,0.102,0.253,1.513
167,0.18,0.909,0.683,0.143,0.413,2.322
168,0.18,0.909,0.683,0.143,0.413,2.322
169,0.18,0.909,0.683,0.143,0.413,2.322
170,0.17,0.833,0.627,0.102,0.253,1.513
171,0.16,0.76,0.573,0.071,0.151,0.961
172,0.17,0.833,0.627,0.102,0.253,1.513
173,0.17,0.833,0.627,0.102,0.253,1.513
174,0.17,0.833,0.627,0.102,0.253,1.513
175,0.18,0.909,0.683,0.143,0.413,2.322
176,0.17,0.833,0.627,0.102,0.253,1.513
177,0.17,0.833,0.627,0.102,0.253,1.513
178,0.17,0.833,0.627,0.102,0.253,1.513
179,0.17,0.833,0.627,0.102,0.253,1.513
180,0.17,0.833,0.627,0.102,0.253,1.513
181,0.17,0.833,0.627,0.102,0.253,1.513
182,0.18,0.909,0.683,0.143,0.413,2.322
183,0.17,0.833,0.627,0.102,0.253,1.513
184,0.18,0.909,0.683,0.143,0.413,2.322
185,0.17,0.833,0.627,0.102,0.253,1.513
186,0.17,0.833,0.627,0.102,0.253,1.513
187,0.17,0.833,0.627,0.102,0.253,1.513
188,0.17,0.833,0.627,0.102,0.253,1.513
189,0.18,0.909,0.683,0.143,0.413,2.322
190,0.17,0.833,0.627,0.102,0.253,1.513
191,0.17,0.833,0.627,0.102,0.253,1.513
192,0.17,0.833,0.627,0.102,0.253,1.513
193,0.17,0.833,0.627,0.102,0.253,1.513
194,0.18,0.909,0.683,0.143,0.413,2.322
195,0.17,0.833,0.627,0.102,0.253,1.513
196,0.17,0.833,0.627,0.102,0.253,1.513
197,0.18,0.909,0.683,0.143,0.413,2.322
198,0.17,0.833,0.627,0.102,0.253,1.513
199,0.17,0.833,0.627,0.102,0.253,1.513
200,0.17,0.833,0.627,0.102,0.253,1.513
201,0.17,0.833,0.627,0.102,0.253,1.513
202,0.18,0.909,0.683,0.143,0.413,2.322
203,0.17,0.833,0.627,0.102,0.253,1.513
204,0.18,0.909,0.683,0.143,0.413,2.322
205,0.18,0.909,0.683,0.143,0.413,2.322
206,0.18,0.909,0.683,0.143,0.413,2.322
207,0.18,0.909,0.683,0.143,0.413,2.322
208,0.18,0.909,0.683,0.143,0.413,2.322
209,0.18,0.909,0.683,0.143,0.413,2.322
210,0.18,0.909,0.683,0.143,0.413,2.322
211,0.19,0.987,0.741,0.199,0.657,3.486
212,0.18,0.909,0.683,0.143,0.413,2.322
213,0.2,1.067,0.801,0.271,1.022,5.13
214,0.2,1.067,0.801,0.271,1.022,5.13
215,0.2,1.067,0.801,0.271,1.022,5.13
216,0.2,1.067,0.801,0.271,1.022,5.13
217,0.2,1.067,0.801,0.271,1.022,5.13
218,0.2,1.067,0.801,0.271,1.022,5.13
219,0.2,1.067,0.801,0.271,1.022,5.13
220,0.21,1.149,0.862,0.363,1.557,7.414
221,0.21,1.149,0.862,0.363,1.557,7.414
222,0.2,1.067,0.801,0.271,1.022,5.13
223,0.2,1.067,0.801,0.271,1.022,5.13
224,0.2,1.067,0.801,0.271,1.022,5.13
225,0.2,1.067,0.801,0.271,1.022,5.13
226,0.2,1.067,0.801,0.271,1.022,5.13
227,0.2,1.067,0.801,0.271,1.022,5.13
228,0.19,0.987,0.741,0.199,0.657,3.486
229,0.2,1.067,0.801,0.271,1.022,5.13
230,0.2,1.067,0.801,0.271,1.022,5.13
231,0.2,1.067,0.801,0.271,1.022,5.13
