id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
122,0.17,0.60,0.00,1.31,0.17,0.25
123,0.17,0.59,0.01,1.31,0.19,0.23
124,0.18,0.60,0.01,1.31,0.17,0.25
125,0.18,0.59,0.01,1.31,0.17,0.23
126,0.17,0.59,0.00,1.30,0.15,0.24
127,0.17,0.59,0.02,1.31,0.17,0.25
128,0.18,0.59,0.01,1.31,0.19,0.24
129,0.18,0.58,0.01,1.31,0.16,0.24
130,0.17,0.60,0.01,1.30,0.18,0.23
131,0.17,0.59,0.01,1.30,0.17,0.23
132,0.17,0.59,0.00,1.31,0.17,0.24
133,0.17,0.59,0.01,1.30,0.16,0.23
134,0.18,0.59,0.01,1.30,0.17,0.23
135,0.18,0.59,0.01,1.31,0.17,0.23
136,0.17,0.59,0.01,1.30,0.16,0.23
137,0.17,0.59,0.01,1.30,0.18,0.25
138,0.17,0.59,0.01,1.31,0.15,0.23
139,0.18,0.60,0.02,1.31,0.17,0.23
140,0.18,0.60,0.02,1.30,0.16,0.23
141,0.17,0.59,0.00,1.30,0.16,0.23
142,0.17,0.59,0.01,1.30,0.17,0.23
143,0.17,0.58,0.00,1.31,0.17,0.24
144,0.17,0.59,0.01,1.30,0.17,0.23
145,0.18,0.59,0.01,1.30,0.17,0.23
146,0.17,0.59,0.02,1.30,0.17,0.23
147,0.17,0.59,0.01,1.30,0.17,0.23
148,0.18,0.59,0.01,1.30,0.17,0.23
149,0.17,0.59,0.01,1.30,0.18,0.22
150,0.17,0.59,0.01,1.30,0.17,0.23
151,0.17,0.59,0.01,1.30,0.18,0.24
152,0.17,0.59,0.01,1.30,0.17,0.24
153,0.18,0.59,0.01,1.30,0.17,0.23
154,0.18,0.59,0.00,1.30,0.16,0.23
155,0.18,0.59,0.01,1.30,0.17,0.23
156,0.17,0.59,0.01,1.30,0.17,0.23
157,0.18,0.60,0.01,1.30,0.17,0.23
158,0.18,0.59,0.01,1.30,0.16,0.23
159,0.17,0.59,0.01,1.30,0.17,0.23
160,0.17,0.58,0.01,1.30,0.17,0.24
161,0.17,0.59,0.02,1.30,0.17,0.23
162,0.18,0.59,0.00,1.30,0.16,0.23
163,0.17,0.58,0.01,1.30,0.17,0.22
164,0.17,0.59,0.01,1.30,0.17,0.23
165,0.17,0.60,0.01,1.30,0.17,0.24
166,0.17,0.59,0.00,1.30,0.15,0.24
167,0.18,0.59,0.01,1.30,0.17,0.24
168,0.17,0.59,0.02,1.30,0.17,0.22
169,0.17,0.59,0.00,1.30,0.18,0.22
170,0.18,0.59,0.01,1.30,0.17,0.23
171,0.17,0.58,0.01,1.29,0.17,0.24
172,0.18,0.59,0.01,1.30,0.18,0.24
173,0.17,0.59,0.01,1.30,0.16,0.24
174,0.17,0.58,0.00,1.30,0.16,0.23
175,0.18,0.58,0.01,1.29,0.17,0.23
176,0.17,0.59,0.01,1.30,0.17,0.22
177,0.18,0.58,0.01,1.30,0.17,0.23
178,0.17,0.59,0.01,1.28,0.16,0.23
179,0.18,0.58,0.01,1.27,0.16,0.22
180,0.17,0.59,0.01,1.27,0.16,0.23
181,0.18,0.59,0.01,1.25,0.15,0.22
182,0.17,0.59,0.01,1.26,0.16,0.23
183,0.18,0.59,0.01,1.27,0.16,0.22
184,0.17,0.59,0.00,1.27,0.16,0.22
185,0.18,0.59,0.01,1.29,0.16,0.24
186,0.17,0.60,0.01,1.32,0.16,0.24
187,0.18,0.61,0.02,1.36,0.17,0.24
188,0.18,0.63,0.01,1.41,0.17,0.28
189,0.18,0.64,0.01,1.44,0.22,0.46
190,0.18,0.65,0.01,1.46,0.21,0.43
191,0.19,0.68,0.01,1.49,0.20,0.42
192,0.19,0.73,0.01,1.56,0.21,0.41
193,0.19,0.80,0.01,1.61,0.21,0.41
194,0.19,0.81,0.01,1.63,0.21,0.40
195,0.20,0.81,0.01,1.62,0.20,0.39
196,0.19,0.83,0.01,1.62,0.20,0.38
197,0.19,0.85,0.00,1.63,0.19,0.38
198,0.20,0.87,0.01,1.64,0.20,0.37
199,0.21,0.91,0.02,1.65,0.21,0.37
200,0.21,0.96,0.01,1.68,0.21,0.38
201,0.21,0.99,0.01,1.71,0.21,0.37
202,0.20,1.02,0.01,1.73,0.21,0.37
203,0.21,1.04,0.01,1.74,0.21,0.36
204,0.21,1.06,0.01,1.74,0.20,0.36
205,0.22,1.07,0.01,1.75,0.19,0.36
206,0.22,1.09,0.01,1.77,0.20,0.36
207,0.21,1.10,0.01,1.78,0.20,0.39
208,0.21,1.12,0.02,1.80,0.20,0.36
209,0.22,1.14,0.01,1.80,0.20,0.36
210,0.22,1.15,0.01,1.81,0.20,0.37
211,0.22,1.15,0.01,1.83,0.21,0.37
212,0.22,1.17,0.01,1.90,0.20,0.37
213,0.22,1.18,0.02,2.00,0.21,0.38
214,0.21,1.20,0.01,2.06,0.21,0.39
215,0.22,1.21,0.01,2.10,0.21,0.40
216,0.22,1.21,0.01,2.11,0.21,0.39
217,0.21,1.22,0.02,2.12,0.21,0.41
218,0.21,1.22,0.01,2.11,0.21,0.40
219,0.22,1.23,0.01,2.11,0.22,0.41
220,0.22,1.24,0.01,2.11,0.21,0.41
221,0.21,1.27,0.01,2.12,0.22,0.42
222,0.22,1.33,0.01,2.16,0.23,0.42
223,0.22,1.43,0.01,2.20,0.22,0.43
224,0.23,1.52,0.01,2.24,0.22,0.43
225,0.24,1.60,0.01,2.31,0.22,0.43
226,0.24,1.65,0.01,2.36,0.23,0.44
227,0.24,1.67,0.01,2.40,0.22,0.43
228,0.25,1.68,0.01,2.45,0.22,0.44
229,0.24,1.68,0.01,2.48,0.23,0.45
230,0.25,1.65,0.01,2.51,0.22,0.47
231,0.23,1.63,0.01,2.52,0.22,0.47
232,0.23,1.60,0.01,2.53,0.23,0.47
233,0.22,1.57,0.01,2.54,0.24,0.47
234,0.23,1.54,0.01,2.54,0.23,0.47
235,0.22,1.52,0.01,2.54,0.23,0.47
236,0.23,1.50,0.01,2.55,0.23,0.47
237,0.22,1.49,0.01,2.57,0.23,0.48
238,0.23,1.49,0.01,2.57,0.23,0.47
239,0.23,1.49,0.02,2.58,0.24,0.46
240,0.23,1.51,0.00,2.60,0.23,0.46
241,0.23,1.50,0.01,2.60,0.24,0.47
242,0.23,1.51,0.01,2.61,0.23,0.47
243,0.24,1.50,0.02,2.68,0.23,0.49
244,0.23,1.51,0.01,2.75,0.24,0.47
245,0.22,1.50,0.01,2.78,0.25,0.48
246,0.23,1.52,0.01,2.79,0.24,0.47
