,volt,co,h2,lpg,ch4,alcohol
0,0.24,0.85,0.64,0.11,0.284,1.675
1,0.24,0.85,0.64,0.11,0.284,1.675
2,0.24,0.85,0.64,0.11,0.284,1.675
3,0.24,0.85,0.64,0.11,0.284,1.675
4,0.24,0.85,0.64,0.11,0.284,1.675
5,0.24,0.85,0.64,0.11,0.284,1.675
6,0.24,0.85,0.64,0.11,0.284,1.675
7,0.24,0.85,0.64,0.11,0.284,1.675
8,0.24,0.85,0.64,0.11,0.284,1.675
9,0.24,0.85,0.64,0.11,0.284,1.675
10,0.24,0.85,0.64,0.11,0.284,1.675
11,0.24,0.85,0.64,0.11,0.284,1.675
12,0.24,0.85,0.64,0.11,0.284,1.675
13,0.24,0.85,0.64,0.11,0.284,1.675
14,0.24,0.85,0.64,0.11,0.284,1.675
15,0.24,0.85,0.64,0.11,0.284,1.675
16,0.24,0.85,0.64,0.11,0.284,1.675
17,0.24,0.85,0.64,0.11,0.284,1.675
18,0.23,0.797,0.6,0.085,0.196,1.212
19,0.24,0.85,0.64,0.11,0.284,1.675
20,0.23,0.797,0.6,0.085,0.196,1.212
21,0.24,0.85,0.64,0.11,0.284,1.675
22,0.24,0.85,0.64,0.11,0.284,1.675
23,0.23,0.797,0.6,0.085,0.196,1.212
24,0.24,0.85,0.64,0.11,0.284,1.675
25,0.23,0.797,0.6,0.085,0.196,1.212
26,0.23,0.797,0.6,0.085,0.196,1.212
27,0.24,0.85,0.64,0.11,0.284,1.675
28,0.23,0.797,0.6,0.085,0.196,1.212
29,0.24,0.85,0.64,0.11,0.284,1.675
30,0.24,0.85,0.64,0.11,0.284,1.675
31,0.24,0.85,0.64,0.11,0.284,1.675
32,0.23,0.797,0.6,0.085,0.196,1.212
33,0.24,0.85,0.64,0.11,0.284,1.675
34,0.24,0.85,0.64,0.11,0.284,1.675
35,0.24,0.85,0.64,0.11,0.284,1.675
36,0.24,0.85,0.64,0.11,0.284,1.675
37,0.24,0.85,0.64,0.11,0.284,1.675
38,0.24,0.85,0.64,0.11,0.284,1.675
39,0.23,0.797,0.6,0.085,0.196,1.212
40,0.24,0.85,0.64,0.11,0.284,1.675
41,0.24,0.85,0.64,0.11,0.284,1.675
42,0.23,0.797,0.6,0.085,0.196,1.212
43,0.23,0.797,0.6,0.085,0.196,1.212
44,0.24,0.85,0.64,0.11,0.284,1.675
45,0.24,0.85,0.64,0.11,0.284,1.675
46,0.24,0.85,0.64,0.11,0.284,1.675
47,0.23,0.797,0.6,0.085,0.196,1.212
48,0.24,0.85,0.64,0.11,0.284,1.675
49,0.24,0.85,0.64,0.11,0.284,1.675
50,0.24,0.85,0.64,0.11,0.284,1.675
51,0.23,0.797,0.6,0.085,0.196,1.212
52,0.24,0.85,0.64,0.11,0.284,1.675
53,0.23,0.797,0.6,0.085,0.196,1.212
54,0.24,0.85,0.64,0.11,0.284,1.675
55,0.23,0.797,0.6,0.085,0.196,1.212
56,0.24,0.85,0.64,0.11,0.284,1.675
57,0.23,0.797,0.6,0.085,0.196,1.212
58,0.24,0.85,0.64,0.11,0.284,1.675
59,0.24,0.85,0.64,0.11,0.284,1.675
60,0.24,0.85,0.64,0.11,0.284,1.675
61,0.23,0.797,0.6,0.085,0.196,1.212
62,0.24,0.85,0.64,0.11,0.284,1.675
63,0.23,0.797,0.6,0.085,0.196,1.212
64,0.24,0.85,0.64,0.11,0.284,1.675
65,0.24,0.85,0.64,0.11,0.284,1.675
66,0.23,0.797,0.6,0.085,0.196,1.212
67,0.24,0.85,0.64,0.11,0.284,1.675
68,0.23,0.797,0.6,0.085,0.196,1.212
69,0.23,0.797,0.6,0.085,0.196,1.212
70,0.24,0.85,0.64,0.11,0.284,1.675
71,0.24,0.85,0.64,0.11,0.284,1.675
72,0.23,0.797,0.6,0.085,0.196,1.212
73,0.24,0.85,0.64,0.11,0.284,1.675
74,0.23,0.797,0.6,0.085,0.196,1.212
75,0.24,0.85,0.64,0.11,0.284,1.675
76,0.23,0.797,0.6,0.085,0.196,1.212
77,0.23,0.797,0.6,0.085,0.196,1.212
78,0.24,0.85,0.64,0.11,0.284,1.675
79,0.23,0.797,0.6,0.085,0.196,1.212
80,0.24,0.85,0.64,0.11,0.284,1.675
81,0.23,0.797,0.6,0.085,0.196,1.212
82,0.23,0.797,0.6,0.085,0.196,1.212
83,0.24,0.85,0.64,0.11,0.284,1.675
84,0.24,0.85,0.64,0.11,0.284,1.675
85,0.23,0.797,0.6,0.085,0.196,1.212
86,0.23,0.797,0.6,0.085,0.196,1.212
87,0.23,0.797,0.6,0.085,0.196,1.212
88,0.24,0.85,0.64,0.11,0.284,1.675
89,0.23,0.797,0.6,0.085,0.196,1.212
90,0.23,0.797,0.6,0.085,0.196,1.212
91,0.23,0.797,0.6,0.085,0.196,1.212
92,0.23,0.797,0.6,0.085,0.196,1.212
93,0.24,0.85,0.64,0.11,0.284,1.675
94,0.24,0.85,0.64,0.11,0.284,1.675
95,0.23,0.797,0.6,0.085,0.196,1.212
96,0.23,0.797,0.6,0.085,0.196,1.212
97,0.24,0.85,0.64,0.11,0.284,1.675
98,0.24,0.85,0.64,0.11,0.284,1.675
99,0.23,0.797,0.6,0.085,0.196,1.212
100,0.23,0.797,0.6,0.085,0.196,1.212
101,0.24,0.85,0.64,0.11,0.284,1.675
102,0.23,0.797,0.6,0.085,0.196,1.212
103,0.23,0.797,0.6,0.085,0.196,1.212
104,0.23,0.797,0.6,0.085,0.196,1.212
105,0.23,0.797,0.6,0.085,0.196,1.212
106,0.23,0.797,0.6,0.085,0.196,1.212
107,0.24,0.85,0.64,0.11,0.284,1.675
108,0.24,0.85,0.64,0.11,0.284,1.675
109,0.23,0.797,0.6,0.085,0.196,1.212
110,0.23,0.797,0.6,0.085,0.196,1.212
111,0.23,0.797,0.6,0.085,0.196,1.212
112,0.23,0.797,0.6,0.085,0.196,1.212
113,0.23,0.797,0.6,0.085,0.196,1.212
114,0.24,0.85,0.64,0.11,0.284,1.675
115,0.23,0.797,0.6,0.085,0.196,1.212
116,0.24,0.85,0.64,0.11,0.284,1.675
117,0.24,0.85,0.64,0.11,0.284,1.675
118,0.24,0.85,0.64,0.11,0.284,1.675
119,0.24,0.85,0.64,0.11,0.284,1.675
120,0.23,0.797,0.6,0.085,0.196,1.212
121,0.24,0.85,0.64,0.11,0.284,1.675
122,0.23,0.797,0.6,0.085,0.196,1.212
123,0.23,0.797,0.6,0.085,0.196,1.212
124,0.24,0.85,0.64,0.11,0.284,1.675
125,0.23,0.797,0.6,0.085,0.196,1.212
126,0.24,0.85,0.64,0.11,0.284,1.675
127,0.24,0.85,0.64,0.11,0.284,1.675
128,0.23,0.797,0.6,0.085,0.196,1.212
129,0.23,0.797,0.6,0.085,0.196,1.212
130,0.24,0.85,0.64,0.11,0.284,1.675
131,0.24,0.85,0.64,0.11,0.284,1.675
132,0.23,0.797,0.6,0.085,0.196,1.212
133,0.24,0.85,0.64,0.11,0.284,1.675
134,0.23,0.797,0.6,0.085,0.196,1.212
135,0.24,0.85,0.64,0.11,0.284,1.675
136,0.23,0.797,0.6,0.085,0.196,1.212
137,0.23,0.797,0.6,0.085,0.196,1.212
138,0.23,0.797,0.6,0.085,0.196,1.212
139,0.23,0.797,0.6,0.085,0.196,1.212
140,0.24,0.85,0.64,0.11,0.284,1.675
141,0.23,0.797,0.6,0.085,0.196,1.212
142,0.24,0.85,0.64,0.11,0.284,1.675
143,0.23,0.797,0.6,0.085,0.196,1.212
144,0.23,0.797,0.6,0.085,0.196,1.212
145,0.24,0.85,0.64,0.11,0.284,1.675
146,0.24,0.85,0.64,0.11,0.284,1.675
147,0.24,0.85,0.64,0.11,0.284,1.675
148,0.24,0.85,0.64,0.11,0.284,1.675
149,0.24,0.85,0.64,0.11,0.284,1.675
150,0.23,0.797,0.6,0.085,0.196,1.212
151,0.23,0.797,0.6,0.085,0.196,1.212
152,0.23,0.797,0.6,0.085,0.196,1.212
153,0.23,0.797,0.6,0.085,0.196,1.212
154,0.23,0.797,0.6,0.085,0.196,1.212
155,0.24,0.85,0.64,0.11,0.284,1.675
156,0.23,0.797,0.6,0.085,0.196,1.212
157,0.24,0.85,0.64,0.11,0.284,1.675
158,0.24,0.85,0.64,0.11,0.284,1.675
159,0.23,0.797,0.6,0.085,0.196,1.212
160,0.24,0.85,0.64,0.11,0.284,1.675
161,0.24,0.85,0.64,0.11,0.284,1.675
162,0.23,0.797,0.6,0.085,0.196,1.212
163,0.23,0.797,0.6,0.085,0.196,1.212
164,0.23,0.797,0.6,0.085,0.196,1.212
165,0.23,0.797,0.6,0.085,0.196,1.212
166,0.24,0.85,0.64,0.11,0.284,1.675
167,0.23,0.797,0.6,0.085,0.196,1.212
168,0.23,0.797,0.6,0.085,0.196,1.212
169,0.24,0.85,0.64,0.11,0.284,1.675
170,0.24,0.85,0.64,0.11,0.284,1.675
171,0.23,0.797,0.6,0.085,0.196,1.212
172,0.24,0.85,0.64,0.11,0.284,1.675
173,0.23,0.797,0.6,0.085,0.196,1.212
174,0.24,0.85,0.64,0.11,0.284,1.675
175,0.24,0.85,0.64,0.11,0.284,1.675
176,0.23,0.797,0.6,0.085,0.196,1.212
177,0.23,0.797,0.6,0.085,0.196,1.212
178,0.24,0.85,0.64,0.11,0.284,1.675
179,0.24,0.85,0.64,0.11,0.284,1.675
180,0.23,0.797,0.6,0.085,0.196,1.212
181,0.23,0.797,0.6,0.085,0.196,1.212
182,0.23,0.797,0.6,0.085,0.196,1.212
183,0.23,0.797,0.6,0.085,0.196,1.212
184,0.24,0.85,0.64,0.11,0.284,1.675
185,0.23,0.797,0.6,0.085,0.196,1.212
186,0.23,0.797,0.6,0.085,0.196,1.212
187,0.23,0.797,0.6,0.085,0.196,1.212
188,0.24,0.85,0.64,0.11,0.284,1.675
189,0.24,0.85,0.64,0.11,0.284,1.675
190,0.23,0.797,0.6,0.085,0.196,1.212
191,0.24,0.85,0.64,0.11,0.284,1.675
192,0.24,0.85,0.64,0.11,0.284,1.675
193,0.24,0.85,0.64,0.11,0.284,1.675
194,0.25,0.906,0.681,0.142,0.405,2.285
195,0.24,0.85,0.64,0.11,0.284,1.675
196,0.24,0.85,0.64,0.11,0.284,1.675
197,0.24,0.85,0.64,0.11,0.284,1.675
198,0.24,0.85,0.64,0.11,0.284,1.675
199,0.24,0.85,0.64,0.11,0.284,1.675
200,0.24,0.85,0.64,0.11,0.284,1.675
201,0.24,0.85,0.64,0.11,0.284,1.675
202,0.25,0.906,0.681,0.142,0.405,2.285
203,0.25,0.906,0.681,0.142,0.405,2.285
204,0.26,0.962,0.723,0.18,0.571,3.081
205,0.28,1.079,0.81,0.283,1.091,5.432
206,0.29,1.14,0.855,0.351,1.484,7.111
207,0.29,1.14,0.855,0.351,1.484,7.111
208,0.31,1.264,0.947,0.53,2.669,11.882
209,0.32,1.329,0.995,0.644,3.532,15.185
210,0.33,1.394,1.044,0.78,4.638,19.268
211,0.35,1.53,1.143,1.124,7.818,30.429
212,0.36,1.599,1.195,1.34,10.047,37.896
213,0.38,1.742,1.3,1.878,16.285,57.825
214,0.38,1.742,1.3,1.878,16.285,57.825
215,0.37,1.67,1.247,1.59,12.829,46.935
216,0.36,1.599,1.195,1.34,10.047,37.896
217,0.35,1.53,1.143,1.124,7.818,30.429
218,0.34,1.461,1.093,0.938,6.043,24.289
219,0.33,1.394,1.044,0.78,4.638,19.268
220,0.33,1.394,1.044,0.78,4.638,19.268
221,0.31,1.264,0.947,0.53,2.669,11.882
222,0.31,1.264,0.947,0.53,2.669,11.882
223,0.3,1.201,0.901,0.433,1.999,9.229
224,0.3,1.201,0.901,0.433,1.999,9.229
225,0.31,1.264,0.947,0.53,2.669,11.882
226,0.31,1.264,0.947,0.53,2.669,11.882
227,0.33,1.394,1.044,0.78,4.638,19.268
228,0.33,1.394,1.044,0.78,4.638,19.268
229,0.34,1.461,1.093,0.938,6.043,24.289
230,0.33,1.394,1.044,0.78,4.638,19.268
231,0.33,1.394,1.044,0.78,4.638,19.268
232,0.34,1.461,1.093,0.938,6.043,24.289
233,0.33,1.394,1.044,0.78,4.638,19.268
234,0.33,1.394,1.044,0.78,4.638,19.268
235,0.33,1.394,1.044,0.78,4.638,19.268
236,0.33,1.394,1.044,0.78,4.638,19.268
237,0.33,1.394,1.044,0.78,4.638,19.268
238,0.33,1.394,1.044,0.78,4.638,19.268
239,0.33,1.394,1.044,0.78,4.638,19.268
240,0.33,1.394,1.044,0.78,4.638,19.268
241,0.33,1.394,1.044,0.78,4.638,19.268
242,0.33,1.394,1.044,0.78,4.638,19.268
243,0.33,1.394,1.044,0.78,4.638,19.268
244,0.34,1.461,1.093,0.938,6.043,24.289
245,0.34,1.461,1.093,0.938,6.043,24.289
246,0.33,1.394,1.044,0.78,4.638,19.268
247,0.34,1.461,1.093,0.938,6.043,24.289
248,0.34,1.461,1.093,0.938,6.043,24.289
249,0.33,1.394,1.044,0.78,4.638,19.268
250,0.33,1.394,1.044,0.78,4.638,19.268
251,0.34,1.461,1.093,0.938,6.043,24.289
252,0.34,1.461,1.093,0.938,6.043,24.289
