,volt,co,h2,lpg,ch4,alcohol
122,0.11,0.802,0.604,0.088,0.205,1.256
123,0.12,0.914,0.687,0.147,0.427,2.393
124,0.11,0.802,0.604,0.088,0.205,1.256
125,0.11,0.802,0.604,0.088,0.205,1.256
126,0.12,0.914,0.687,0.147,0.427,2.393
127,0.12,0.914,0.687,0.147,0.427,2.393
128,0.11,0.802,0.604,0.088,0.205,1.256
129,0.11,0.802,0.604,0.088,0.205,1.256
130,0.11,0.802,0.604,0.088,0.205,1.256
131,0.12,0.914,0.687,0.147,0.427,2.393
132,0.12,0.914,0.687,0.147,0.427,2.393
133,0.12,0.914,0.687,0.147,0.427,2.393
134,0.11,0.802,0.604,0.088,0.205,1.256
135,0.11,0.802,0.604,0.088,0.205,1.256
136,0.11,0.802,0.604,0.088,0.205,1.256
137,0.11,0.802,0.604,0.088,0.205,1.256
138,0.11,0.802,0.604,0.088,0.205,1.256
139,0.12,0.914,0.687,0.147,0.427,2.393
140,0.12,0.914,0.687,0.147,0.427,2.393
141,0.12,0.914,0.687,0.147,0.427,2.393
142,0.12,0.914,0.687,0.147,0.427,2.393
143,0.12,0.914,0.687,0.147,0.427,2.393
144,0.12,0.914,0.687,0.147,0.427,2.393
145,0.12,0.914,0.687,0.147,0.427,2.393
146,0.11,0.802,0.604,0.088,0.205,1.256
147,0.11,0.802,0.604,0.088,0.205,1.256
148,0.11,0.802,0.604,0.088,0.205,1.256
149,0.12,0.914,0.687,0.147,0.427,2.393
150,0.11,0.802,0.604,0.088,0.205,1.256
151,0.12,0.914,0.687,0.147,0.427,2.393
152,0.11,0.802,0.604,0.088,0.205,1.256
153,0.12,0.914,0.687,0.147,0.427,2.393
154,0.11,0.802,0.604,0.088,0.205,1.256
155,0.12,0.914,0.687,0.147,0.427,2.393
156,0.12,0.914,0.687,0.147,0.427,2.393
157,0.12,0.914,0.687,0.147,0.427,2.393
158,0.12,0.914,0.687,0.147,0.427,2.393
159,0.12,0.914,0.687,0.147,0.427,2.393
160,0.11,0.802,0.604,0.088,0.205,1.256
161,0.12,0.914,0.687,0.147,0.427,2.393
162,0.12,0.914,0.687,0.147,0.427,2.393
163,0.12,0.914,0.687,0.147,0.427,2.393
164,0.12,0.914,0.687,0.147,0.427,2.393
165,0.12,0.914,0.687,0.147,0.427,2.393
166,0.11,0.802,0.604,0.088,0.205,1.256
167,0.12,0.914,0.687,0.147,0.427,2.393
168,0.12,0.914,0.687,0.147,0.427,2.393
169,0.11,0.802,0.604,0.088,0.205,1.256
170,0.11,0.802,0.604,0.088,0.205,1.256
171,0.12,0.914,0.687,0.147,0.427,2.393
172,0.11,0.802,0.604,0.088,0.205,1.256
173,0.12,0.914,0.687,0.147,0.427,2.393
174,0.11,0.802,0.604,0.088,0.205,1.256
175,0.12,0.914,0.687,0.147,0.427,2.393
176,0.12,0.914,0.687,0.147,0.427,2.393
177,0.12,0.914,0.687,0.147,0.427,2.393
178,0.12,0.914,0.687,0.147,0.427,2.393
179,0.11,0.802,0.604,0.088,0.205,1.256
180,0.12,0.914,0.687,0.147,0.427,2.393
181,0.11,0.802,0.604,0.088,0.205,1.256
182,0.12,0.914,0.687,0.147,0.427,2.393
183,0.12,0.914,0.687,0.147,0.427,2.393
184,0.12,0.914,0.687,0.147,0.427,2.393
185,0.12,0.914,0.687,0.147,0.427,2.393
186,0.11,0.802,0.604,0.088,0.205,1.256
187,0.11,0.802,0.604,0.088,0.205,1.256
188,0.11,0.802,0.604,0.088,0.205,1.256
189,0.11,0.802,0.604,0.088,0.205,1.256
190,0.12,0.914,0.687,0.147,0.427,2.393
191,0.12,0.914,0.687,0.147,0.427,2.393
192,0.12,0.914,0.687,0.147,0.427,2.393
193,0.11,0.802,0.604,0.088,0.205,1.256
