,volt,lpg,co,ch4
80,0.15,0.015,0.003,0.012
81,0.15,0.015,0.003,0.012
82,0.15,0.015,0.003,0.012
83,0.15,0.015,0.003,0.012
84,0.15,0.015,0.003,0.012
85,0.15,0.015,0.003,0.012
86,0.15,0.015,0.003,0.012
87,0.15,0.015,0.003,0.012
88,0.15,0.015,0.003,0.012
89,0.15,0.015,0.003,0.012
90,0.15,0.015,0.003,0.012
91,0.14,0.01,0.002,0.007
92,0.15,0.015,0.003,0.012
93,0.15,0.015,0.003,0.012
94,0.15,0.015,0.003,0.012
95,0.15,0.015,0.003,0.012
96,0.15,0.015,0.003,0.012
97,0.14,0.01,0.002,0.007
98,0.15,0.015,0.003,0.012
99,0.15,0.015,0.003,0.012
100,0.15,0.015,0.003,0.012
101,0.14,0.01,0.002,0.007
102,0.15,0.015,0.003,0.012
103,0.15,0.015,0.003,0.012
104,0.15,0.015,0.003,0.012
105,0.15,0.015,0.003,0.012
106,0.14,0.01,0.002,0.007
107,0.15,0.015,0.003,0.012
108,0.15,0.015,0.003,0.012
109,0.16,0.021,0.005,0.019
110,0.14,0.01,0.002,0.007
111,0.15,0.015,0.003,0.012
112,0.14,0.01,0.002,0.007
113,0.14,0.01,0.002,0.007
114,0.15,0.015,0.003,0.012
115,0.14,0.01,0.002,0.007
116,0.15,0.015,0.003,0.012
117,0.15,0.015,0.003,0.012
118,0.15,0.015,0.003,0.012
119,0.15,0.015,0.003,0.012
120,0.14,0.01,0.002,0.007
121,0.15,0.015,0.003,0.012
122,0.15,0.015,0.003,0.012
123,0.14,0.01,0.002,0.007
124,0.15,0.015,0.003,0.012
125,0.15,0.015,0.003,0.012
126,0.15,0.015,0.003,0.012
127,0.15,0.015,0.003,0.012
128,0.14,0.01,0.002,0.007
129,0.14,0.01,0.002,0.007
130,0.15,0.015,0.003,0.012
131,0.15,0.015,0.003,0.012
132,0.15,0.015,0.003,0.012
133,0.15,0.015,0.003,0.012
134,0.15,0.015,0.003,0.012
135,0.15,0.015,0.003,0.012
136,0.15,0.015,0.003,0.012
137,0.15,0.015,0.003,0.012
138,0.14,0.01,0.002,0.007
139,0.15,0.015,0.003,0.012
140,0.15,0.015,0.003,0.012
141,0.15,0.015,0.003,0.012
142,0.14,0.01,0.002,0.007
143,0.14,0.01,0.002,0.007
144,0.15,0.015,0.003,0.012
145,0.15,0.015,0.003,0.012
146,0.15,0.015,0.003,0.012
147,0.14,0.01,0.002,0.007
148,0.14,0.01,0.002,0.007
149,0.15,0.015,0.003,0.012
150,0.15,0.015,0.003,0.012
151,0.15,0.015,0.003,0.012
152,0.15,0.015,0.003,0.012
153,0.15,0.015,0.003,0.012
154,0.15,0.015,0.003,0.012
155,0.15,0.015,0.003,0.012
156,0.15,0.015,0.003,0.012
157,0.15,0.015,0.003,0.012
158,0.15,0.015,0.003,0.012
159,0.15,0.015,0.003,0.012
160,0.15,0.015,0.003,0.012
161,0.15,0.015,0.003,0.012
162,0.15,0.015,0.003,0.012
163,0.15,0.015,0.003,0.012
164,0.15,0.015,0.003,0.012
165,0.14,0.01,0.002,0.007
166,0.15,0.015,0.003,0.012
167,0.15,0.015,0.003,0.012
168,0.15,0.015,0.003,0.012
169,0.14,0.01,0.002,0.007
170,0.14,0.01,0.002,0.007
171,0.15,0.015,0.003,0.012
172,0.15,0.015,0.003,0.012
173,0.15,0.015,0.003,0.012
174,0.15,0.015,0.003,0.012
175,0.15,0.015,0.003,0.012
176,0.14,0.01,0.002,0.007
177,0.14,0.01,0.002,0.007
178,0.15,0.015,0.003,0.012
179,0.15,0.015,0.003,0.012
180,0.15,0.015,0.003,0.012
181,0.16,0.021,0.005,0.019
182,0.15,0.015,0.003,0.012
183,0.15,0.015,0.003,0.012
184,0.15,0.015,0.003,0.012
185,0.15,0.015,0.003,0.012
186,0.15,0.015,0.003,0.012
187,0.14,0.01,0.002,0.007
188,0.14,0.01,0.002,0.007
189,0.15,0.015,0.003,0.012
190,0.16,0.021,0.005,0.019
191,0.16,0.021,0.005,0.019
192,0.17,0.029,0.007,0.03
193,0.17,0.029,0.007,0.03
194,0.17,0.029,0.007,0.03
195,0.17,0.029,0.007,0.03
196,0.17,0.029,0.007,0.03
197,0.17,0.029,0.007,0.03
198,0.18,0.04,0.009,0.047
199,0.19,0.054,0.013,0.072
200,0.2,0.072,0.017,0.107
201,0.2,0.072,0.017,0.107
202,0.21,0.094,0.022,0.157
203,0.2,0.072,0.017,0.107
204,0.21,0.094,0.022,0.157
205,0.2,0.072,0.017,0.107
206,0.2,0.072,0.017,0.107
207,0.2,0.072,0.017,0.107
208,0.21,0.094,0.022,0.157
209,0.2,0.072,0.017,0.107
210,0.21,0.094,0.022,0.157
211,0.2,0.072,0.017,0.107
212,0.2,0.072,0.017,0.107
213,0.19,0.054,0.013,0.072
214,0.19,0.054,0.013,0.072
215,0.19,0.054,0.013,0.072
216,0.21,0.094,0.022,0.157
217,0.19,0.054,0.013,0.072
218,0.19,0.054,0.013,0.072
219,0.2,0.072,0.017,0.107
220,0.2,0.072,0.017,0.107
221,0.19,0.054,0.013,0.072
222,0.2,0.072,0.017,0.107
223,0.2,0.072,0.017,0.107
224,0.2,0.072,0.017,0.107
225,0.21,0.094,0.022,0.157
226,0.21,0.094,0.022,0.157
227,0.21,0.094,0.022,0.157
228,0.21,0.094,0.022,0.157
229,0.2,0.072,0.017,0.107
230,0.2,0.072,0.017,0.107
231,0.2,0.072,0.017,0.107
232,0.21,0.094,0.022,0.157
233,0.21,0.094,0.022,0.157
