,volt,co,h2,lpg,ch4,alcohol
95,0.24,0.85,0.64,0.11,0.284,1.675
96,0.24,0.85,0.64,0.11,0.284,1.675
97,0.24,0.85,0.64,0.11,0.284,1.675
98,0.23,0.797,0.6,0.085,0.196,1.212
99,0.24,0.85,0.64,0.11,0.284,1.675
100,0.24,0.85,0.64,0.11,0.284,1.675
101,0.23,0.797,0.6,0.085,0.196,1.212
102,0.24,0.85,0.64,0.11,0.284,1.675
103,0.23,0.797,0.6,0.085,0.196,1.212
104,0.24,0.85,0.64,0.11,0.284,1.675
105,0.24,0.85,0.64,0.11,0.284,1.675
106,0.24,0.85,0.64,0.11,0.284,1.675
107,0.24,0.85,0.64,0.11,0.284,1.675
108,0.24,0.85,0.64,0.11,0.284,1.675
109,0.23,0.797,0.6,0.085,0.196,1.212
110,0.24,0.85,0.64,0.11,0.284,1.675
111,0.24,0.85,0.64,0.11,0.284,1.675
112,0.24,0.85,0.64,0.11,0.284,1.675
113,0.23,0.797,0.6,0.085,0.196,1.212
114,0.24,0.85,0.64,0.11,0.284,1.675
115,0.23,0.797,0.6,0.085,0.196,1.212
116,0.24,0.85,0.64,0.11,0.284,1.675
117,0.24,0.85,0.64,0.11,0.284,1.675
118,0.23,0.797,0.6,0.085,0.196,1.212
119,0.24,0.85,0.64,0.11,0.284,1.675
120,0.24,0.85,0.64,0.11,0.284,1.675
121,0.23,0.797,0.6,0.085,0.196,1.212
122,0.24,0.85,0.64,0.11,0.284,1.675
123,0.24,0.85,0.64,0.11,0.284,1.675
124,0.24,0.85,0.64,0.11,0.284,1.675
125,0.24,0.85,0.64,0.11,0.284,1.675
126,0.24,0.85,0.64,0.11,0.284,1.675
127,0.24,0.85,0.64,0.11,0.284,1.675
128,0.24,0.85,0.64,0.11,0.284,1.675
129,0.24,0.85,0.64,0.11,0.284,1.675
130,0.24,0.85,0.64,0.11,0.284,1.675
131,0.23,0.797,0.6,0.085,0.196,1.212
132,0.24,0.85,0.64,0.11,0.284,1.675
133,0.24,0.85,0.64,0.11,0.284,1.675
134,0.24,0.85,0.64,0.11,0.284,1.675
135,0.24,0.85,0.64,0.11,0.284,1.675
136,0.24,0.85,0.64,0.11,0.284,1.675
137,0.24,0.85,0.64,0.11,0.284,1.675
138,0.24,0.85,0.64,0.11,0.284,1.675
139,0.24,0.85,0.64,0.11,0.284,1.675
140,0.24,0.85,0.64,0.11,0.284,1.675
141,0.24,0.85,0.64,0.11,0.284,1.675
142,0.24,0.85,0.64,0.11,0.284,1.675
143,0.24,0.85,0.64,0.11,0.284,1.675
144,0.24,0.85,0.64,0.11,0.284,1.675
145,0.24,0.85,0.64,0.11,0.284,1.675
146,0.24,0.85,0.64,0.11,0.284,1.675
147,0.24,0.85,0.64,0.11,0.284,1.675
148,0.24,0.85,0.64,0.11,0.284,1.675
149,0.24,0.85,0.64,0.11,0.284,1.675
150,0.24,0.85,0.64,0.11,0.284,1.675
151,0.23,0.797,0.6,0.085,0.196,1.212
152,0.24,0.85,0.64,0.11,0.284,1.675
153,0.23,0.797,0.6,0.085,0.196,1.212
154,0.24,0.85,0.64,0.11,0.284,1.675
155,0.24,0.85,0.64,0.11,0.284,1.675
156,0.24,0.85,0.64,0.11,0.284,1.675
157,0.24,0.85,0.64,0.11,0.284,1.675
158,0.24,0.85,0.64,0.11,0.284,1.675
159,0.24,0.85,0.64,0.11,0.284,1.675
160,0.24,0.85,0.64,0.11,0.284,1.675
161,0.24,0.85,0.64,0.11,0.284,1.675
162,0.25,0.906,0.681,0.142,0.405,2.285
163,0.24,0.85,0.64,0.11,0.284,1.675
164,0.24,0.85,0.64,0.11,0.284,1.675
165,0.24,0.85,0.64,0.11,0.284,1.675
166,0.23,0.797,0.6,0.085,0.196,1.212
167,0.24,0.85,0.64,0.11,0.284,1.675
168,0.24,0.85,0.64,0.11,0.284,1.675
169,0.24,0.85,0.64,0.11,0.284,1.675
170,0.24,0.85,0.64,0.11,0.284,1.675
171,0.23,0.797,0.6,0.085,0.196,1.212
172,0.24,0.85,0.64,0.11,0.284,1.675
173,0.24,0.85,0.64,0.11,0.284,1.675
174,0.24,0.85,0.64,0.11,0.284,1.675
175,0.24,0.85,0.64,0.11,0.284,1.675
176,0.25,0.906,0.681,0.142,0.405,2.285
177,0.24,0.85,0.64,0.11,0.284,1.675
178,0.24,0.85,0.64,0.11,0.284,1.675
179,0.24,0.85,0.64,0.11,0.284,1.675
180,0.24,0.85,0.64,0.11,0.284,1.675
181,0.24,0.85,0.64,0.11,0.284,1.675
182,0.26,0.962,0.723,0.18,0.571,3.081
183,0.28,1.079,0.81,0.283,1.091,5.432
184,0.26,0.962,0.723,0.18,0.571,3.081
185,0.26,0.962,0.723,0.18,0.571,3.081
186,0.26,0.962,0.723,0.18,0.571,3.081
187,0.25,0.906,0.681,0.142,0.405,2.285
188,0.26,0.962,0.723,0.18,0.571,3.081
189,0.27,1.02,0.766,0.227,0.793,4.111
190,0.28,1.079,0.81,0.283,1.091,5.432
191,0.29,1.14,0.855,0.351,1.484,7.111
192,0.29,1.14,0.855,0.351,1.484,7.111
193,0.28,1.079,0.81,0.283,1.091,5.432
194,0.26,0.962,0.723,0.18,0.571,3.081
195,0.27,1.02,0.766,0.227,0.793,4.111
196,0.26,0.962,0.723,0.18,0.571,3.081
197,0.27,1.02,0.766,0.227,0.793,4.111
198,0.33,1.394,1.044,0.78,4.638,19.268
199,0.33,1.394,1.044,0.78,4.638,19.268
200,0.35,1.53,1.143,1.124,7.818,30.429
201,0.34,1.461,1.093,0.938,6.043,24.289
202,0.34,1.461,1.093,0.938,6.043,24.289
203,0.34,1.461,1.093,0.938,6.043,24.289
204,0.33,1.394,1.044,0.78,4.638,19.268
205,0.31,1.264,0.947,0.53,2.669,11.882
206,0.3,1.201,0.901,0.433,1.999,9.229
207,0.3,1.201,0.901,0.433,1.999,9.229
208,0.31,1.264,0.947,0.53,2.669,11.882
209,0.3,1.201,0.901,0.433,1.999,9.229
210,0.3,1.201,0.901,0.433,1.999,9.229
211,0.3,1.201,0.901,0.433,1.999,9.229
212,0.3,1.201,0.901,0.433,1.999,9.229
213,0.29,1.14,0.855,0.351,1.484,7.111
214,0.29,1.14,0.855,0.351,1.484,7.111
215,0.3,1.201,0.901,0.433,1.999,9.229
216,0.3,1.201,0.901,0.433,1.999,9.229
217,0.3,1.201,0.901,0.433,1.999,9.229
218,0.3,1.201,0.901,0.433,1.999,9.229
219,0.3,1.201,0.901,0.433,1.999,9.229
220,0.32,1.329,0.995,0.644,3.532,15.185
221,0.33,1.394,1.044,0.78,4.638,19.268
222,0.32,1.329,0.995,0.644,3.532,15.185
223,0.33,1.394,1.044,0.78,4.638,19.268
224,0.32,1.329,0.995,0.644,3.532,15.185
225,0.31,1.264,0.947,0.53,2.669,11.882
226,0.3,1.201,0.901,0.433,1.999,9.229
227,0.3,1.201,0.901,0.433,1.999,9.229
228,0.31,1.264,0.947,0.53,2.669,11.882
229,0.3,1.201,0.901,0.433,1.999,9.229
230,0.31,1.264,0.947,0.53,2.669,11.882
231,0.31,1.264,0.947,0.53,2.669,11.882
232,0.31,1.264,0.947,0.53,2.669,11.882
233,0.3,1.201,0.901,0.433,1.999,9.229
234,0.31,1.264,0.947,0.53,2.669,11.882
235,0.31,1.264,0.947,0.53,2.669,11.882
236,0.31,1.264,0.947,0.53,2.669,11.882
237,0.31,1.264,0.947,0.53,2.669,11.882
238,0.31,1.264,0.947,0.53,2.669,11.882
239,0.31,1.264,0.947,0.53,2.669,11.882
240,0.3,1.201,0.901,0.433,1.999,9.229
241,0.3,1.201,0.901,0.433,1.999,9.229
242,0.31,1.264,0.947,0.53,2.669,11.882
243,0.3,1.201,0.901,0.433,1.999,9.229
244,0.3,1.201,0.901,0.433,1.999,9.229
245,0.3,1.201,0.901,0.433,1.999,9.229
246,0.3,1.201,0.901,0.433,1.999,9.229
247,0.31,1.264,0.947,0.53,2.669,11.882
248,0.3,1.201,0.901,0.433,1.999,9.229
249,0.3,1.201,0.901,0.433,1.999,9.229
250,0.31,1.264,0.947,0.53,2.669,11.882
251,0.31,1.264,0.947,0.53,2.669,11.882
252,0.3,1.201,0.901,0.433,1.999,9.229
253,0.3,1.201,0.901,0.433,1.999,9.229
254,0.3,1.201,0.901,0.433,1.999,9.229
255,0.31,1.264,0.947,0.53,2.669,11.882
256,0.3,1.201,0.901,0.433,1.999,9.229
257,0.31,1.264,0.947,0.53,2.669,11.882
258,0.3,1.201,0.901,0.433,1.999,9.229
259,0.3,1.201,0.901,0.433,1.999,9.229
260,0.3,1.201,0.901,0.433,1.999,9.229
261,0.3,1.201,0.901,0.433,1.999,9.229
262,0.3,1.201,0.901,0.433,1.999,9.229
263,0.3,1.201,0.901,0.433,1.999,9.229
264,0.3,1.201,0.901,0.433,1.999,9.229
265,0.3,1.201,0.901,0.433,1.999,9.229
266,0.31,1.264,0.947,0.53,2.669,11.882
267,0.3,1.201,0.901,0.433,1.999,9.229
268,0.29,1.14,0.855,0.351,1.484,7.111
269,0.3,1.201,0.901,0.433,1.999,9.229
270,0.3,1.201,0.901,0.433,1.999,9.229
271,0.29,1.14,0.855,0.351,1.484,7.111
272,0.3,1.201,0.901,0.433,1.999,9.229
273,0.3,1.201,0.901,0.433,1.999,9.229
274,0.3,1.201,0.901,0.433,1.999,9.229
275,0.3,1.201,0.901,0.433,1.999,9.229
276,0.3,1.201,0.901,0.433,1.999,9.229
277,0.3,1.201,0.901,0.433,1.999,9.229
278,0.3,1.201,0.901,0.433,1.999,9.229
279,0.3,1.201,0.901,0.433,1.999,9.229
280,0.3,1.201,0.901,0.433,1.999,9.229
281,0.3,1.201,0.901,0.433,1.999,9.229
282,0.3,1.201,0.901,0.433,1.999,9.229
283,0.3,1.201,0.901,0.433,1.999,9.229
284,0.3,1.201,0.901,0.433,1.999,9.229
285,0.31,1.264,0.947,0.53,2.669,11.882
286,0.31,1.264,0.947,0.53,2.669,11.882
287,0.3,1.201,0.901,0.433,1.999,9.229
288,0.3,1.201,0.901,0.433,1.999,9.229
289,0.3,1.201,0.901,0.433,1.999,9.229
290,0.3,1.201,0.901,0.433,1.999,9.229
291,0.31,1.264,0.947,0.53,2.669,11.882
292,0.31,1.264,0.947,0.53,2.669,11.882
293,0.31,1.264,0.947,0.53,2.669,11.882
294,0.31,1.264,0.947,0.53,2.669,11.882
295,0.3,1.201,0.901,0.433,1.999,9.229
296,0.31,1.264,0.947,0.53,2.669,11.882
297,0.3,1.201,0.901,0.433,1.999,9.229
298,0.31,1.264,0.947,0.53,2.669,11.882
299,0.3,1.201,0.901,0.433,1.999,9.229
300,0.31,1.264,0.947,0.53,2.669,11.882
301,0.31,1.264,0.947,0.53,2.669,11.882
302,0.3,1.201,0.901,0.433,1.999,9.229
303,0.31,1.264,0.947,0.53,2.669,11.882
304,0.3,1.201,0.901,0.433,1.999,9.229
305,0.3,1.201,0.901,0.433,1.999,9.229
306,0.3,1.201,0.901,0.433,1.999,9.229
307,0.31,1.264,0.947,0.53,2.669,11.882
308,0.31,1.264,0.947,0.53,2.669,11.882
309,0.31,1.264,0.947,0.53,2.669,11.882
310,0.31,1.264,0.947,0.53,2.669,11.882
311,0.31,1.264,0.947,0.53,2.669,11.882
312,0.31,1.264,0.947,0.53,2.669,11.882
313,0.32,1.329,0.995,0.644,3.532,15.185
314,0.32,1.329,0.995,0.644,3.532,15.185
315,0.32,1.329,0.995,0.644,3.532,15.185
316,0.31,1.264,0.947,0.53,2.669,11.882
317,0.31,1.264,0.947,0.53,2.669,11.882
318,0.31,1.264,0.947,0.53,2.669,11.882
319,0.31,1.264,0.947,0.53,2.669,11.882
320,0.3,1.201,0.901,0.433,1.999,9.229
321,0.31,1.264,0.947,0.53,2.669,11.882
322,0.31,1.264,0.947,0.53,2.669,11.882
323,0.31,1.264,0.947,0.53,2.669,11.882
324,0.31,1.264,0.947,0.53,2.669,11.882
325,0.3,1.201,0.901,0.433,1.999,9.229
326,0.31,1.264,0.947,0.53,2.669,11.882
327,0.32,1.329,0.995,0.644,3.532,15.185
328,0.32,1.329,0.995,0.644,3.532,15.185
329,0.32,1.329,0.995,0.644,3.532,15.185
330,0.33,1.394,1.044,0.78,4.638,19.268
331,0.33,1.394,1.044,0.78,4.638,19.268
332,0.34,1.461,1.093,0.938,6.043,24.289
333,0.34,1.461,1.093,0.938,6.043,24.289
334,0.34,1.461,1.093,0.938,6.043,24.289
335,0.36,1.599,1.195,1.34,10.047,37.896
336,0.36,1.599,1.195,1.34,10.047,37.896
337,0.36,1.599,1.195,1.34,10.047,37.896
338,0.35,1.53,1.143,1.124,7.818,30.429
339,0.35,1.53,1.143,1.124,7.818,30.429
340,0.35,1.53,1.143,1.124,7.818,30.429
