,volt,co,h2,lpg,ch4,alcohol
122,0.11,0.802,0.604,0.088,0.205,1.256
123,0.11,0.802,0.604,0.088,0.205,1.256
124,0.12,0.914,0.687,0.147,0.427,2.393
125,0.11,0.802,0.604,0.088,0.205,1.256
126,0.11,0.802,0.604,0.088,0.205,1.256
127,0.12,0.914,0.687,0.147,0.427,2.393
128,0.12,0.914,0.687,0.147,0.427,2.393
129,0.12,0.914,0.687,0.147,0.427,2.393
130,0.11,0.802,0.604,0.088,0.205,1.256
131,0.11,0.802,0.604,0.088,0.205,1.256
132,0.12,0.914,0.687,0.147,0.427,2.393
133,0.12,0.914,0.687,0.147,0.427,2.393
134,0.12,0.914,0.687,0.147,0.427,2.393
135,0.11,0.802,0.604,0.088,0.205,1.256
136,0.12,0.914,0.687,0.147,0.427,2.393
137,0.11,0.802,0.604,0.088,0.205,1.256
138,0.12,0.914,0.687,0.147,0.427,2.393
139,0.12,0.914,0.687,0.147,0.427,2.393
140,0.12,0.914,0.687,0.147,0.427,2.393
141,0.12,0.914,0.687,0.147,0.427,2.393
142,0.12,0.914,0.687,0.147,0.427,2.393
143,0.12,0.914,0.687,0.147,0.427,2.393
144,0.12,0.914,0.687,0.147,0.427,2.393
145,0.12,0.914,0.687,0.147,0.427,2.393
146,0.11,0.802,0.604,0.088,0.205,1.256
147,0.12,0.914,0.687,0.147,0.427,2.393
148,0.12,0.914,0.687,0.147,0.427,2.393
149,0.11,0.802,0.604,0.088,0.205,1.256
150,0.12,0.914,0.687,0.147,0.427,2.393
151,0.12,0.914,0.687,0.147,0.427,2.393
152,0.11,0.802,0.604,0.088,0.205,1.256
153,0.12,0.914,0.687,0.147,0.427,2.393
154,0.12,0.914,0.687,0.147,0.427,2.393
155,0.11,0.802,0.604,0.088,0.205,1.256
156,0.12,0.914,0.687,0.147,0.427,2.393
157,0.12,0.914,0.687,0.147,0.427,2.393
158,0.11,0.802,0.604,0.088,0.205,1.256
159,0.12,0.914,0.687,0.147,0.427,2.393
160,0.11,0.802,0.604,0.088,0.205,1.256
161,0.12,0.914,0.687,0.147,0.427,2.393
162,0.12,0.914,0.687,0.147,0.427,2.393
163,0.12,0.914,0.687,0.147,0.427,2.393
164,0.13,1.031,0.774,0.236,0.843,4.334
165,0.12,0.914,0.687,0.147,0.427,2.393
166,0.11,0.802,0.604,0.088,0.205,1.256
167,0.12,0.914,0.687,0.147,0.427,2.393
168,0.12,0.914,0.687,0.147,0.427,2.393
169,0.12,0.914,0.687,0.147,0.427,2.393
170,0.12,0.914,0.687,0.147,0.427,2.393
171,0.12,0.914,0.687,0.147,0.427,2.393
172,0.1,0.696,0.525,0.05,0.091,0.621
173,0.12,0.914,0.687,0.147,0.427,2.393
174,0.12,0.914,0.687,0.147,0.427,2.393
175,0.11,0.802,0.604,0.088,0.205,1.256
