id,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
122,0.18,0.57,0.01,1.03,0.13,0.22
123,0.18,0.57,0.01,1.03,0.13,0.22
124,0.18,0.57,0.01,1.03,0.13,0.22
125,0.18,0.58,0.02,1.02,0.13,0.22
126,0.17,0.57,0.02,1.04,0.12,0.22
127,0.18,0.57,0.02,1.03,0.13,0.22
128,0.18,0.57,0.01,1.03,0.13,0.22
129,0.18,0.57,0.01,1.03,0.13,0.22
130,0.19,0.57,0.02,1.03,0.11,0.22
131,0.17,0.58,0.02,1.02,0.13,0.22
132,0.18,0.57,0.01,1.03,0.13,0.22
133,0.18,0.57,0.01,1.03,0.13,0.22
134,0.18,0.57,0.02,1.03,0.13,0.23
135,0.19,0.58,0.02,1.03,0.14,0.23
136,0.17,0.58,0.02,1.03,0.13,0.22
137,0.18,0.57,0.01,1.03,0.13,0.22
138,0.18,0.57,0.01,1.03,0.13,0.22
139,0.18,0.57,0.02,1.04,0.12,0.22
140,0.18,0.59,0.03,1.03,0.13,0.23
141,0.18,0.58,0.01,1.03,0.13,0.23
142,0.18,0.57,0.02,1.04,0.13,0.22
143,0.17,0.58,0.02,1.03,0.13,0.23
144,0.18,0.58,0.02,1.03,0.12,0.22
145,0.17,0.58,0.02,1.04,0.12,0.22
146,0.18,0.58,0.02,1.04,0.12,0.23
147,0.18,0.58,0.01,1.03,0.13,0.23
148,0.17,0.58,0.02,1.03,0.12,0.22
149,0.18,0.58,0.01,1.04,0.13,0.22
150,0.18,0.58,0.01,1.05,0.15,0.23
151,0.18,0.58,0.01,1.04,0.13,0.23
152,0.18,0.58,0.02,1.04,0.13,0.23
153,0.17,0.58,0.01,1.04,0.13,0.23
154,0.18,0.58,0.02,1.04,0.13,0.22
155,0.18,0.58,0.01,1.04,0.13,0.22
156,0.18,0.58,0.01,1.04,0.13,0.22
157,0.18,0.59,0.01,1.04,0.13,0.22
158,0.17,0.58,0.01,1.04,0.13,0.23
159,0.18,0.58,0.02,1.04,0.15,0.24
160,0.18,0.58,0.01,1.04,0.13,0.22
161,0.18,0.58,0.02,1.04,0.13,0.22
162,0.18,0.58,0.01,1.04,0.13,0.22
163,0.18,0.59,0.02,1.05,0.12,0.23
164,0.18,0.58,0.01,1.05,0.12,0.22
165,0.18,0.58,0.01,1.04,0.13,0.23
166,0.18,0.58,0.01,1.04,0.12,0.23
167,0.18,0.58,0.01,1.04,0.13,0.23
168,0.18,0.58,0.01,1.05,0.13,0.23
169,0.18,0.58,0.01,1.04,0.14,0.23
170,0.17,0.58,0.02,1.05,0.13,0.22
171,0.18,0.58,0.01,1.04,0.12,0.22
172,0.18,0.58,0.02,1.05,0.13,0.23
173,0.18,0.58,0.01,1.05,0.13,0.23
174,0.18,0.59,0.01,1.05,0.12,0.23
